0,1,2
OPP-000584,"EOG Resources, Inc.",2025-04-14 10:57:15
OPP-000615,Sigmasoft Infotech Pvt.Ltd,2025-04-14 14:57:46
OPP-000621,FirstEnergy Corp.,2025-05-01 18:54:38
OPP-000630,EQT Corporation,2025-04-13 02:54:09
OPP-000644,Colgate-Palmolive Company,2025-06-01 01:36:34
OPP-000652,Hewlett Packard Enterprise Company,2025-05-27 06:13:17
OPP-000666,CME Group Inc.,2025-04-19 23:52:38
OPP-000668,Wipro Limited,2025-05-16 15:40:35
OPP-000671,"DoorDash, Inc.",2025-05-23 11:49:30
OPP-000724,Entergy Corporation,2025-06-13 14:49:35
OPP-000750,Duke Energy Corporation,2025-05-01 17:33:12
OPP-000772,Snowflake Inc.,2025-06-22 15:33:33
OPP-000774,Edwards Lifesciences Corporation,2025-05-20 03:47:51
OPP-000784,SAP SE,2025-04-28 08:15:56
OPP-000811,DTE Energy Company,2025-06-03 16:55:03
OPP-000823,"Coinbase Global, Inc.",2025-04-03 04:46:12
OPP-000831,Equifax Inc.,2025-04-16 16:53:52
OPP-000834,"Coinbase Global, Inc.",2025-06-12 18:14:14
OPP-000855,International Business Machines Corporation,2025-06-06 22:33:19
OPP-000892,Entergy Corporation,2025-05-02 05:49:46
OPP-000907,Citigroup Inc.,2025-06-01 04:36:42
OPP-000937,Intuit Inc.,2025-05-12 09:53:24
OPP-000953,"Salesforce, Inc.",2025-06-18 09:36:17
OPP-000981,Dover Corporation,2025-05-31 13:30:08
OPP-000992,"EPAM Systems, Inc.",2025-06-07 23:05:24
OPP-001000,Eastman Chemical Company,2025-05-24 04:31:02
OPP-001005,"HubSpot, Inc.",2025-05-24 16:48:57
OPP-001047,FirstEnergy Corp.,2025-06-25 11:44:55
OPP-001069,Emerson Electric Co.,2025-06-21 21:07:33
OPP-001074,Dell Technologies Inc.,2025-05-01 22:36:17
OPP-001093,Wipro Limited,2025-06-10 01:56:07
OPP-001105,FirstEnergy Corp.,2025-05-16 06:16:00
OPP-001120,DTE Energy Company,2025-06-16 18:31:40
OPP-001128,"Amazon.com, Inc.",2025-05-03 20:18:55
OPP-001151,Equifax Inc.,2025-06-20 02:37:41
OPP-001175,EQT Corporation,2025-04-21 04:12:22
OPP-001179,Electronic Arts Inc.,2025-04-03 16:54:16
OPP-001217,Hewlett Packard Enterprise Company,2025-06-04 05:21:41
OPP-001225,Edison International,2025-05-07 19:48:31
OPP-001226,"First Solar, Inc.",2025-05-24 15:57:38
OPP-001234,Intuit Inc.,2025-05-03 21:59:09
OPP-001290,Sigmasoft Infotech Pvt.Ltd,2025-06-06 06:37:02
OPP-001295,Microsoft Corporation,2025-04-06 08:19:19
OPP-001306,Tata Consultancy Services Limited,2025-06-24 20:14:40
OPP-001338,FirstEnergy Corp.,2025-05-14 12:19:45
OPP-001354,Ford Motor Company,2025-06-04 07:03:32
OPP-001361,The Coca-Cola Company,2025-04-19 00:41:57
OPP-001379,Electronic Arts Inc.,2025-04-13 06:13:49
OPP-001385,CMS Energy Corporation,2025-04-11 21:33:33
OPP-001389,Emerson Electric Co.,2025-06-08 23:52:04
OPP-001414,Sigmasoft Infotech Pvt.Ltd,2025-04-05 13:27:02
OPP-001441,"Fiserv, Inc.",2025-06-08 08:40:39
OPP-001443,Dover Corporation,2025-05-18 00:58:26
OPP-001444,"Vmware, Inc",2025-04-23 22:58:59
OPP-001492,"Cisco Systems, Inc.",2025-04-16 11:22:44
OPP-001512,Edison International,2025-05-12 05:08:28
OPP-001533,"Workday, Inc.",2025-06-26 11:42:05
OPP-001559,"Elevance Health, Inc.",2025-04-25 19:42:00
OPP-001569,"Vmware, Inc",2025-04-14 02:17:26
OPP-001588,"Fiserv, Inc.",2025-06-14 22:49:23
OPP-001639,"Amazon.com, Inc.",2025-05-03 23:48:18
OPP-001662,Sigmasoft Infotech Pvt.Ltd,2025-06-13 22:29:38
OPP-001665,Dover Corporation,2025-06-08 21:02:27
OPP-001682,The Clorox Company,2025-05-07 08:41:42
OPP-001683,Adobe Inc.,2025-05-31 07:16:14
OPP-001689,DTE Energy Company,2025-04-26 22:39:56
OPP-001708,"Elevance Health, Inc.",2025-06-21 01:51:04
OPP-001746,Tata Consultancy Services Limited,2025-04-23 03:17:27
OPP-001748,"DoorDash, Inc.",2025-04-21 03:01:04
OPP-001759,SAP SE,2025-06-17 04:11:38
OPP-001766,Eastman Chemical Company,2025-05-19 01:25:23
OPP-001799,"Workday, Inc.",2025-04-15 07:29:41
OPP-001803,Citigroup Inc.,2025-05-07 05:25:46
OPP-001847,Electronic Arts Inc.,2025-06-22 02:09:27
OPP-001874,Fortive Corporation,2025-05-29 03:38:39
OPP-001875,"DuPont de Nemours, Inc.",2025-05-13 10:21:57
OPP-001895,Wipro Limited,2025-06-02 00:56:23
OPP-001940,Microsoft Corporation,2025-05-09 22:09:22
OPP-001948,"Workday, Inc.",2025-05-27 21:28:16
OPP-001951,"Netflix, Inc.",2025-04-28 11:57:47
OPP-001976,"Workday, Inc.",2025-04-29 06:03:39
OPP-001981,"ServiceNow, Inc.",2025-05-28 11:36:19
OPP-002028,"Elevance Health, Inc.",2025-04-18 12:35:59
OPP-002030,Entergy Corporation,2025-06-26 09:14:36
OPP-002118,"EOG Resources, Inc.",2025-05-19 21:07:59
OPP-002131,Sigmasoft Infotech Pvt.Ltd,2025-04-02 21:44:38
OPP-002182,Oracle Corporation,2025-05-12 19:29:29
OPP-002196,"Vmware, Inc",2025-04-28 20:43:25
OPP-002283,"Coinbase Global, Inc.",2025-05-07 07:01:08
OPP-002299,"Fortinet, Inc.",2025-05-13 23:24:29
OPP-002322,Intuit Inc.,2025-05-05 11:01:04
OPP-002347,"Dominion Energy, Inc.",2025-04-27 13:35:38
OPP-002348,"Dominion Energy, Inc.",2025-04-21 15:51:31
OPP-002351,"Vmware, Inc",2025-04-04 11:44:23
OPP-002363,Tata Consultancy Services Limited,2025-06-14 16:38:23
OPP-002366,Ford Motor Company,2025-04-02 16:41:50
OPP-002379,"Workday, Inc.",2025-06-20 19:42:01
OPP-002406,Edison International,2025-05-04 19:07:41
OPP-002412,"ServiceNow, Inc.",2025-05-23 19:00:56
OPP-002425,Tata Consultancy Services Limited,2025-05-11 21:07:29
OPP-002426,CME Group Inc.,2025-06-08 09:42:39
OPP-002427,"Fortinet, Inc.",2025-05-24 12:30:59
OPP-002431,Entergy Corporation,2025-06-22 02:21:29
OPP-002438,Edwards Lifesciences Corporation,2025-05-21 08:36:46
OPP-002524,Hewlett Packard Enterprise Company,2025-05-07 07:21:10
OPP-002543,International Business Machines Corporation,2025-05-27 17:24:23
OPP-002572,Adobe Inc.,2025-05-08 01:22:38
OPP-002596,Wipro Limited,2025-06-13 22:20:00
OPP-002599,Equifax Inc.,2025-05-09 10:52:06
OPP-002615,Fortive Corporation,2025-04-14 14:19:23
OPP-002640,Tata Consultancy Services Limited,2025-06-06 10:20:55
OPP-002642,"HubSpot, Inc.",2025-05-01 00:16:45
OPP-002647,"HubSpot, Inc.",2025-06-07 04:14:18
OPP-002652,Zoom Communications Inc.,2025-04-15 06:56:46
OPP-002672,Spotify Technology S.A.,2025-04-19 04:16:47
OPP-002673,"Meta Platforms, Inc.",2025-06-07 22:29:12
OPP-002703,Alphabet Inc.,2025-05-28 09:13:12
OPP-002709,Edison International,2025-04-07 01:11:40
OPP-002738,"First Solar, Inc.",2025-05-07 08:36:17
OPP-002773,"Netflix, Inc.",2025-05-30 09:11:18
OPP-002783,SAP SE,2025-04-04 00:19:10
OPP-002803,Duke Energy Corporation,2025-06-13 07:31:56
OPP-002812,"Coinbase Global, Inc.",2025-05-07 20:53:01
OPP-002861,"EPAM Systems, Inc.",2025-05-24 19:25:20
OPP-002925,"Amazon.com, Inc.",2025-04-30 10:12:40
OPP-002957,"EOG Resources, Inc.",2025-06-20 11:31:48
OPP-002959,Citigroup Inc.,2025-05-04 13:18:04
OPP-002970,Intuit Inc.,2025-04-15 14:36:12
OPP-002973,FirstEnergy Corp.,2025-04-09 19:17:34
OPP-002977,Eastman Chemical Company,2025-06-26 04:51:42
OPP-002992,Adobe Inc.,2025-05-30 10:31:21
OPP-003032,Spotify Technology S.A.,2025-04-18 01:31:13
OPP-003050,Edison International,2025-04-20 22:52:29
OPP-003056,"Dominion Energy, Inc.",2025-06-07 01:04:38
OPP-003073,Dover Corporation,2025-05-13 17:44:24
OPP-003118,International Business Machines Corporation,2025-04-23 16:01:42
OPP-003137,Equifax Inc.,2025-05-31 15:43:29
OPP-003140,Adobe Inc.,2025-04-30 13:46:57
OPP-003150,"Elevance Health, Inc.",2025-04-04 14:06:25
OPP-003157,Atlassian Corporation,2025-05-11 00:18:43
OPP-003162,"HubSpot, Inc.",2025-05-28 10:36:51
OPP-003167,Fortive Corporation,2025-04-07 09:06:02
OPP-003173,Citigroup Inc.,2025-04-07 12:38:51
OPP-003197,Hewlett Packard Enterprise Company,2025-04-11 15:14:22
OPP-003226,Adobe Inc.,2025-06-23 23:43:55
OPP-003259,Dover Corporation,2025-04-08 19:45:23
OPP-003276,The Clorox Company,2025-06-13 21:15:07
OPP-003299,DTE Energy Company,2025-05-30 09:05:48
OPP-003319,Tata Consultancy Services Limited,2025-04-09 16:11:02
OPP-003333,"Fortinet, Inc.",2025-04-27 02:52:18
OPP-003360,Zoom Communications Inc.,2025-04-27 01:16:24
OPP-003388,"Fiserv, Inc.",2025-04-21 19:15:10
OPP-003391,Slack Technologies Inc,2025-06-21 21:06:59
OPP-003400,"D.R. Horton, Inc.",2025-04-07 11:56:12
OPP-003412,"DoorDash, Inc.",2025-06-18 06:08:06
OPP-003444,Spotify Technology S.A.,2025-04-15 19:35:34
OPP-003468,Zoom Communications Inc.,2025-04-05 04:00:55
OPP-003529,FirstEnergy Corp.,2025-04-01 17:05:16
OPP-003543,Edwards Lifesciences Corporation,2025-05-18 10:47:55
OPP-003546,"Dominion Energy, Inc.",2025-05-31 05:59:28
OPP-003550,Microsoft Corporation,2025-04-28 22:02:03
OPP-003565,DTE Energy Company,2025-04-15 03:13:55
OPP-003585,Snowflake Inc.,2025-06-21 23:34:43
OPP-003594,Ford Motor Company,2025-05-29 21:57:42
OPP-003607,Emerson Electric Co.,2025-05-03 16:12:57
OPP-003633,International Business Machines Corporation,2025-06-17 19:29:42
OPP-003648,"EPAM Systems, Inc.",2025-06-24 12:48:58
OPP-003653,Intuit Inc.,2025-06-25 21:12:48
OPP-003664,Edison International,2025-04-01 12:16:19
OPP-003668,Infosys Limited,2025-05-25 05:50:43
OPP-003684,SAP SE,2025-05-23 01:47:19
OPP-003698,"First Solar, Inc.",2025-06-20 03:19:20
OPP-003720,"D.R. Horton, Inc.",2025-05-22 15:19:05
OPP-003723,CMS Energy Corporation,2025-04-11 06:27:20
OPP-003773,"DuPont de Nemours, Inc.",2025-05-03 11:05:09
OPP-003792,Electronic Arts Inc.,2025-04-03 17:11:37
OPP-003813,Slack Technologies Inc,2025-05-09 21:04:19
OPP-003832,"DoorDash, Inc.",2025-05-13 01:14:00
OPP-003863,Sigmasoft Infotech Pvt.Ltd,2025-05-16 09:58:40
OPP-003869,"Citizens Financial Group, Inc.",2025-04-03 23:10:15
OPP-003877,Citigroup Inc.,2025-05-13 05:10:57
OPP-003886,Spotify Technology S.A.,2025-04-03 09:21:00
OPP-003889,SAP SE,2025-06-21 18:35:32
OPP-003936,"HubSpot, Inc.",2025-04-04 16:01:29
OPP-003964,Colgate-Palmolive Company,2025-05-29 14:00:11
OPP-003970,"Fiserv, Inc.",2025-04-18 17:26:45
OPP-003976,"Elevance Health, Inc.",2025-04-09 03:11:57
OPP-004011,Slack Technologies Inc,2025-04-28 23:11:04
OPP-004018,Microsoft Corporation,2025-06-07 00:06:05
OPP-004044,Dell Technologies Inc.,2025-05-15 21:48:54
OPP-004108,"DoorDash, Inc.",2025-05-31 01:45:22
OPP-004128,Edison International,2025-04-18 12:11:43
OPP-004138,"D.R. Horton, Inc.",2025-05-14 07:08:40
OPP-004150,"HubSpot, Inc.",2025-05-11 21:59:43
OPP-004158,"Vmware, Inc",2025-05-02 05:54:45
OPP-004169,"Coinbase Global, Inc.",2025-06-26 11:56:14
OPP-004204,Sigmasoft Infotech Pvt.Ltd,2025-04-26 14:50:30
OPP-004208,Wipro Limited,2025-05-13 12:02:52
OPP-004223,"Salesforce, Inc.",2025-05-21 23:43:56
OPP-004228,Hewlett Packard Enterprise Company,2025-04-30 03:28:38
OPP-004259,Emerson Electric Co.,2025-05-23 07:04:25
OPP-004306,Atlassian Corporation,2025-04-22 00:40:52
OPP-004317,"Coinbase Global, Inc.",2025-06-10 10:40:08
OPP-004319,Microsoft Corporation,2025-05-10 06:37:21
OPP-004345,"Salesforce, Inc.",2025-06-26 03:19:26
OPP-004386,Entergy Corporation,2025-04-01 18:24:30
OPP-004442,SAP SE,2025-05-06 23:25:18
OPP-004463,"ServiceNow, Inc.",2025-06-25 03:08:19
OPP-004470,Colgate-Palmolive Company,2025-06-15 02:13:26
OPP-004508,"Netflix, Inc.",2025-05-30 02:57:02
OPP-004528,"Fortinet, Inc.",2025-05-21 17:36:11
OPP-004537,CMS Energy Corporation,2025-06-05 13:59:36
OPP-004547,Dover Corporation,2025-04-03 08:54:17
OPP-004549,Alphabet Inc.,2025-05-30 05:35:18
OPP-004551,Oracle Corporation,2025-06-15 14:02:15
OPP-004567,Edwards Lifesciences Corporation,2025-06-06 20:51:06
OPP-004574,International Business Machines Corporation,2025-05-30 00:33:58
OPP-004596,Dover Corporation,2025-05-22 21:35:57
OPP-004602,Atlassian Corporation,2025-05-12 03:05:31
OPP-004612,Edison International,2025-04-05 22:28:11
OPP-004618,Spotify Technology S.A.,2025-06-03 10:53:53
OPP-004628,SAP SE,2025-06-12 07:16:14
OPP-004658,Intuit Inc.,2025-04-30 04:54:54
OPP-004663,Emerson Electric Co.,2025-05-16 19:46:11
OPP-004695,CMS Energy Corporation,2025-06-15 13:59:37
OPP-004701,Slack Technologies Inc,2025-04-11 09:00:29
OPP-004720,Cognizant Technology Solutions Corporation,2025-04-07 23:40:13
OPP-004721,"D.R. Horton, Inc.",2025-06-04 13:36:44
OPP-004752,"Fortinet, Inc.",2025-06-26 09:20:45
OPP-004753,"Elevance Health, Inc.",2025-06-14 13:56:58
OPP-004754,"Vmware, Inc",2025-06-13 14:07:38
OPP-004780,"Netflix, Inc.",2025-04-21 02:15:46
OPP-004796,"Fortinet, Inc.",2025-06-10 17:29:19
OPP-004797,"Elevance Health, Inc.",2025-06-10 16:08:32
OPP-004805,Eastman Chemical Company,2025-04-22 19:21:35
OPP-004808,Dover Corporation,2025-05-31 23:49:38
OPP-004818,Hewlett Packard Enterprise Company,2025-06-15 01:00:12
OPP-004820,"Fortinet, Inc.",2025-06-02 17:15:36
OPP-004825,Dell Technologies Inc.,2025-05-12 11:13:07
OPP-004840,Atlassian Corporation,2025-06-23 11:28:28
OPP-004862,"Fiserv, Inc.",2025-06-18 08:58:57
OPP-004910,International Business Machines Corporation,2025-06-19 03:54:45
OPP-004914,The Coca-Cola Company,2025-06-01 15:32:53
OPP-004924,Electronic Arts Inc.,2025-05-15 21:35:07
OPP-004953,"D.R. Horton, Inc.",2025-06-19 09:13:34
OPP-004962,Duke Energy Corporation,2025-04-22 08:26:37
OPP-004981,Adobe Inc.,2025-06-06 00:57:52
OPP-005019,"DoorDash, Inc.",2025-05-09 20:15:37
OPP-005038,"Amazon.com, Inc.",2025-05-10 11:15:02
OPP-005062,CME Group Inc.,2025-04-22 22:46:05
OPP-005091,"Fortinet, Inc.",2025-05-03 20:23:19
OPP-005100,International Business Machines Corporation,2025-05-13 10:11:09
OPP-005127,The Clorox Company,2025-05-02 08:36:47
OPP-005167,The Coca-Cola Company,2025-05-11 00:51:14
OPP-005179,Zoom Communications Inc.,2025-06-05 11:56:06
OPP-005223,"Dropbox, Inc.",2025-05-25 07:42:54
OPP-005241,"Elevance Health, Inc.",2025-06-02 15:56:05
OPP-005260,"Meta Platforms, Inc.",2025-06-11 15:19:08
OPP-005266,Infosys Limited,2025-06-16 01:39:52
OPP-005273,Ford Motor Company,2025-04-08 03:46:15
OPP-005278,Microsoft Corporation,2025-05-13 14:02:07
OPP-005289,Dover Corporation,2025-05-28 10:55:33
OPP-005297,Infosys Limited,2025-06-12 13:33:09
OPP-005299,Microsoft Corporation,2025-05-02 13:47:01
OPP-005312,Equifax Inc.,2025-05-18 11:48:10
OPP-005327,Sigmasoft Infotech Pvt.Ltd,2025-06-01 11:45:52
OPP-005329,"EOG Resources, Inc.",2025-06-10 21:25:23
OPP-005330,Colgate-Palmolive Company,2025-06-17 02:38:41
OPP-005333,Microsoft Corporation,2025-04-16 10:45:39
OPP-005335,"Fortinet, Inc.",2025-04-15 00:18:48
OPP-005356,Duke Energy Corporation,2025-05-17 00:54:14
OPP-005368,Ford Motor Company,2025-04-14 13:06:33
OPP-005382,Equifax Inc.,2025-04-01 03:50:22
OPP-005391,CME Group Inc.,2025-04-28 05:21:43
OPP-005470,"HubSpot, Inc.",2025-06-10 21:01:31
OPP-005505,"Salesforce, Inc.",2025-05-09 20:23:30
OPP-005531,"Citizens Financial Group, Inc.",2025-04-06 18:42:40
OPP-005539,Slack Technologies Inc,2025-05-15 14:08:45
OPP-005540,The Clorox Company,2025-04-01 21:10:48
OPP-005546,"ServiceNow, Inc.",2025-06-05 06:53:37
OPP-005561,"First Solar, Inc.",2025-04-13 14:29:18
OPP-005565,Entergy Corporation,2025-05-07 06:14:12
OPP-005571,The Coca-Cola Company,2025-05-13 12:38:51
OPP-005575,The Clorox Company,2025-06-14 08:18:52
OPP-005610,Dover Corporation,2025-06-10 03:27:50
OPP-005630,"ServiceNow, Inc.",2025-04-01 04:49:00
OPP-005632,Wipro Limited,2025-06-08 00:02:18
OPP-005649,"First Solar, Inc.",2025-04-01 19:07:48
OPP-005654,"Netflix, Inc.",2025-04-24 02:06:48
OPP-005669,Fortive Corporation,2025-06-26 06:48:59
OPP-005693,"Salesforce, Inc.",2025-04-30 00:59:42
OPP-005721,Emerson Electric Co.,2025-05-10 20:35:28
OPP-005738,"DuPont de Nemours, Inc.",2025-06-19 13:02:26
OPP-005756,Alphabet Inc.,2025-04-14 20:27:01
OPP-005788,"EPAM Systems, Inc.",2025-05-30 08:51:24
OPP-005792,CME Group Inc.,2025-04-02 03:59:08
OPP-005804,CME Group Inc.,2025-06-01 21:34:43
OPP-005805,"Workday, Inc.",2025-06-04 01:07:35
OPP-005817,Fortive Corporation,2025-04-15 23:33:52
OPP-005826,"HubSpot, Inc.",2025-05-21 21:25:17
OPP-005830,"D.R. Horton, Inc.",2025-06-16 18:05:04
OPP-005833,"Citizens Financial Group, Inc.",2025-05-07 12:34:03
OPP-005837,Spotify Technology S.A.,2025-06-17 02:01:47
OPP-005868,Edwards Lifesciences Corporation,2025-05-30 05:39:00
OPP-005909,DTE Energy Company,2025-06-14 08:39:59
OPP-005972,Dell Technologies Inc.,2025-05-26 10:07:59
OPP-005977,The Coca-Cola Company,2025-06-14 12:42:38
OPP-006019,SAP SE,2025-05-11 17:19:08
OPP-006024,Snowflake Inc.,2025-06-11 00:53:13
OPP-006051,Hewlett Packard Enterprise Company,2025-04-21 06:05:17
OPP-006070,Edwards Lifesciences Corporation,2025-04-03 16:31:16
OPP-006083,Adobe Inc.,2025-06-12 15:06:45
OPP-006118,"DoorDash, Inc.",2025-06-18 13:51:34
OPP-006134,"Salesforce, Inc.",2025-06-03 04:56:23
OPP-006144,"EOG Resources, Inc.",2025-05-23 07:11:26
OPP-006184,"Salesforce, Inc.",2025-05-23 19:07:47
OPP-006185,"Cisco Systems, Inc.",2025-05-31 14:40:36
OPP-006236,Ford Motor Company,2025-04-15 21:55:05
OPP-006241,"EPAM Systems, Inc.",2025-04-29 05:22:09
OPP-006255,"Fortinet, Inc.",2025-05-16 05:50:29
OPP-006262,Eastman Chemical Company,2025-04-17 00:14:09
OPP-006271,Dover Corporation,2025-06-26 05:01:57
OPP-006277,EQT Corporation,2025-04-21 05:42:46
OPP-006279,"ServiceNow, Inc.",2025-06-18 05:02:22
OPP-006309,"ServiceNow, Inc.",2025-04-21 11:26:49
OPP-006325,SAP SE,2025-06-06 14:31:03
OPP-006339,Slack Technologies Inc,2025-06-24 13:13:56
OPP-006347,EQT Corporation,2025-06-16 03:43:39
OPP-006352,Equifax Inc.,2025-06-07 23:19:41
OPP-006376,"Workday, Inc.",2025-05-09 02:10:57
OPP-006388,Oracle Corporation,2025-04-30 19:49:11
OPP-006389,Eastman Chemical Company,2025-05-11 04:17:45
OPP-006393,"DoorDash, Inc.",2025-05-10 17:54:24
OPP-006417,"Cisco Systems, Inc.",2025-06-15 06:59:02
OPP-006423,Eastman Chemical Company,2025-05-03 03:40:51
OPP-006438,"EOG Resources, Inc.",2025-05-22 13:29:26
OPP-006462,"Dominion Energy, Inc.",2025-04-23 10:12:42
OPP-006478,Equifax Inc.,2025-06-20 00:09:24
OPP-006486,Colgate-Palmolive Company,2025-06-07 22:12:50
OPP-006496,"Salesforce, Inc.",2025-05-16 10:21:51
OPP-006508,Edwards Lifesciences Corporation,2025-04-10 16:39:11
OPP-006510,"First Solar, Inc.",2025-05-09 13:41:48
OPP-006516,"HubSpot, Inc.",2025-05-02 07:48:06
OPP-006541,Electronic Arts Inc.,2025-04-24 10:56:06
OPP-006559,Entergy Corporation,2025-05-31 09:21:30
OPP-006565,EQT Corporation,2025-04-06 23:13:32
OPP-006588,Intuit Inc.,2025-04-23 09:40:07
OPP-006594,Infosys Limited,2025-04-10 06:49:00
OPP-006623,"DoorDash, Inc.",2025-04-24 17:19:58
OPP-006663,Infosys Limited,2025-05-14 18:14:55
OPP-006669,"Dropbox, Inc.",2025-04-20 04:40:27
OPP-006696,"Meta Platforms, Inc.",2025-05-12 22:34:43
OPP-006699,"EOG Resources, Inc.",2025-06-24 05:51:31
OPP-006714,"Coinbase Global, Inc.",2025-04-30 05:02:03
OPP-006717,"First Solar, Inc.",2025-05-01 03:33:24
OPP-006719,Sigmasoft Infotech Pvt.Ltd,2025-06-18 15:53:13
OPP-006737,Emerson Electric Co.,2025-06-04 06:56:58
OPP-006747,Dell Technologies Inc.,2025-04-07 17:15:09
OPP-006749,"Fiserv, Inc.",2025-04-19 15:32:02
OPP-006805,"Netflix, Inc.",2025-05-22 14:40:45
OPP-006827,"Amazon.com, Inc.",2025-04-17 12:07:13
OPP-006835,"Netflix, Inc.",2025-06-07 12:05:56
OPP-006854,Cognizant Technology Solutions Corporation,2025-06-09 04:49:14
OPP-006872,Spotify Technology S.A.,2025-04-18 23:55:37
OPP-006903,International Business Machines Corporation,2025-05-08 18:18:40
OPP-006908,"EOG Resources, Inc.",2025-05-07 00:45:11
OPP-006966,Edwards Lifesciences Corporation,2025-04-30 00:56:45
OPP-006990,Adobe Inc.,2025-05-28 17:56:46
OPP-006998,Equifax Inc.,2025-04-25 11:07:54
OPP-006999,Colgate-Palmolive Company,2025-05-15 22:06:37
OPP-007004,Ford Motor Company,2025-05-12 17:11:30
OPP-007007,Microsoft Corporation,2025-04-08 00:34:42
OPP-007028,"Workday, Inc.",2025-06-07 23:28:54
OPP-007075,Equifax Inc.,2025-05-25 00:56:13
OPP-007079,"DuPont de Nemours, Inc.",2025-06-16 20:03:28
OPP-007086,"HubSpot, Inc.",2025-05-03 03:21:44
OPP-007088,FirstEnergy Corp.,2025-04-15 20:26:10
OPP-007090,"Citizens Financial Group, Inc.",2025-05-28 01:03:09
OPP-007109,"Meta Platforms, Inc.",2025-06-07 19:13:02
OPP-007122,International Business Machines Corporation,2025-06-19 20:34:28
OPP-007131,CMS Energy Corporation,2025-05-16 04:22:04
OPP-007138,"First Solar, Inc.",2025-05-07 07:30:07
OPP-007147,Sigmasoft Infotech Pvt.Ltd,2025-04-26 12:53:43
OPP-007198,Intuit Inc.,2025-06-22 10:08:35
OPP-007219,Snowflake Inc.,2025-06-06 03:10:05
OPP-007269,"Elevance Health, Inc.",2025-04-16 03:25:13
OPP-007272,DTE Energy Company,2025-05-09 06:27:41
OPP-007286,Alphabet Inc.,2025-04-30 15:15:04
OPP-007305,"Vmware, Inc",2025-06-02 03:26:40
OPP-007315,Atlassian Corporation,2025-06-08 06:09:48
OPP-007337,"Netflix, Inc.",2025-06-18 20:29:36
OPP-007343,"Workday, Inc.",2025-05-23 11:58:06
OPP-007347,"Workday, Inc.",2025-04-26 08:29:31
OPP-007349,"DuPont de Nemours, Inc.",2025-04-14 23:31:42
OPP-007353,"Salesforce, Inc.",2025-05-31 10:23:28
OPP-007364,Tata Consultancy Services Limited,2025-06-02 06:12:00
OPP-007414,DTE Energy Company,2025-04-26 07:03:17
OPP-007435,"DuPont de Nemours, Inc.",2025-05-31 06:34:14
OPP-007447,"EPAM Systems, Inc.",2025-06-15 02:05:17
OPP-007465,"HubSpot, Inc.",2025-04-08 01:48:48
OPP-007471,"Enphase Energy, Inc.",2025-06-03 05:26:33
OPP-007479,"Dominion Energy, Inc.",2025-05-03 09:21:58
OPP-007489,"Dominion Energy, Inc.",2025-06-11 06:54:53
OPP-007491,Spotify Technology S.A.,2025-04-07 06:49:18
OPP-007507,"Amazon.com, Inc.",2025-06-14 05:06:58
OPP-007530,Equifax Inc.,2025-04-22 05:46:59
OPP-007532,Intuit Inc.,2025-05-02 04:33:45
OPP-007544,Spotify Technology S.A.,2025-04-08 13:16:14
OPP-007562,Infosys Limited,2025-04-11 19:10:04
OPP-007572,"Amazon.com, Inc.",2025-06-25 06:42:12
OPP-007579,International Business Machines Corporation,2025-04-23 00:10:48
