0,1,2,3,4,5,6,7,8
OPP-000099,ACC-000035,PROD-0036,Upsell,2023-09-15 11:29:49,,Negotiation,5657.52001953125,0.6399999856948853
OPP-000101,ACC-000015,PROD-0077,Cross-sell,2025-03-15 06:23:52,,Open,48128.828125,0.6700000166893005
OPP-000102,ACC-000045,PROD-0008,Expansion,2024-02-25 06:58:34,,Proposal,91934.8515625,0.3199999928474426
OPP-000103,ACC-000048,PROD-0010,Upsell,2024-05-30 01:10:23,,Proposal,34556.890625,0.3799999952316284
OPP-000104,ACC-000025,PROD-0053,Expansion,2022-06-16 20:51:30,,Open,25571.51953125,0.5199999809265137
OPP-000105,ACC-000001,PROD-0018,Cross-sell,2023-04-07 21:02:36,,Open,74246.453125,0.2800000011920929
OPP-000106,ACC-000029,PROD-0001,Upsell,2022-07-06 23:01:45,,Open,40727.19140625,0.30000001192092896
OPP-000108,ACC-000018,PROD-0002,Upsell,2023-04-22 01:29:46,,Proposal,12947.6201171875,0.47999998927116394
OPP-000109,ACC-000004,PROD-0095,Cross-sell,2022-10-26 20:12:08,,Qualified,15173.080078125,0.30000001192092896
OPP-000110,ACC-000050,PROD-0059,Upsell,2025-05-11 19:07:21,,Negotiation,47281.6015625,0.7900000214576721
OPP-000112,ACC-000053,PROD-0064,New Business,2023-05-27 07:58:11,,Negotiation,26521.169921875,0.6100000143051147
OPP-000113,ACC-000019,PROD-0096,New Business,2023-10-18 21:40:06,,Proposal,69655.09375,0.3700000047683716
OPP-000114,ACC-000041,PROD-0072,Upsell,2022-01-19 06:33:00,,Qualified,59929.05078125,0.25999999046325684
OPP-000115,ACC-000055,PROD-0037,Renewal,2022-05-15 18:11:55,,Negotiation,98054.7421875,0.7099999785423279
OPP-000116,ACC-000008,PROD-0064,Cross-sell,2024-04-07 03:40:20,,Open,32174.83984375,0.3400000035762787
OPP-000118,ACC-000049,PROD-0054,Cross-sell,2023-10-17 12:51:44,,Open,13977.099609375,0.3100000023841858
OPP-000120,ACC-000052,PROD-0013,Cross-sell,2022-05-08 20:24:03,,Open,35339.23828125,0.36000001430511475
OPP-000121,ACC-000005,PROD-0027,New Business,2025-02-27 13:19:40,,Proposal,31451.48046875,0.3199999928474426
OPP-000123,ACC-000008,PROD-0074,Cross-sell,2024-06-02 04:03:56,,Qualified,76088.65625,0.36000001430511475
OPP-000124,ACC-000048,PROD-0039,Renewal,2024-06-27 23:07:07,,Qualified,58492.91015625,0.23999999463558197
OPP-000125,ACC-000057,PROD-0042,Renewal,2025-04-24 13:34:28,,Proposal,27120.470703125,0.4399999976158142
OPP-000128,ACC-000013,PROD-0019,Upsell,2025-05-10 15:46:59,,Qualified,70161.6875,0.25999999046325684
OPP-000130,ACC-000060,PROD-0059,Upsell,2024-04-12 23:49:18,,Proposal,65621.34375,0.4300000071525574
OPP-000131,ACC-000046,PROD-0021,Upsell,2025-06-16 23:36:23,,Qualified,86879.1484375,0.27000001072883606
OPP-000132,ACC-000037,PROD-0013,Cross-sell,2023-11-23 00:39:00,,Qualified,7460.60986328125,0.4399999976158142
OPP-000133,ACC-000019,PROD-0018,Renewal,2025-05-23 06:08:49,,Negotiation,66324.453125,0.6000000238418579
OPP-000134,ACC-000044,PROD-0062,Cross-sell,2022-03-01 02:10:56,,Negotiation,33497.30859375,0.6200000047683716
OPP-000135,ACC-000060,PROD-0057,Upsell,2022-11-03 18:50:44,,Open,69282.890625,0.4699999988079071
OPP-000136,ACC-000001,PROD-0092,New Business,2021-10-11 22:01:10,,Open,98483.453125,0.23000000417232513
OPP-000140,ACC-000020,PROD-0018,Cross-sell,2025-01-22 17:23:47,,Negotiation,73064.6875,0.8199999928474426
OPP-000143,ACC-000033,PROD-0085,Renewal,2024-09-29 15:12:52,,Qualified,88420.78125,0.41999998688697815
OPP-000144,ACC-000029,PROD-0035,Renewal,2022-11-05 15:15:28,,Proposal,64923.19921875,0.46000000834465027
OPP-000145,ACC-000050,PROD-0074,Upsell,2025-03-26 19:25:27,,Open,84025.640625,0.5199999809265137
OPP-000146,ACC-000039,PROD-0091,Cross-sell,2023-04-02 18:15:52,,Open,59338.44921875,0.4699999988079071
OPP-000147,ACC-000039,PROD-0090,Expansion,2023-03-29 10:18:21,,Qualified,15149.3203125,0.28999999165534973
OPP-000148,ACC-000048,PROD-0029,New Business,2022-10-12 19:21:57,,Proposal,89425.640625,0.33000001311302185
OPP-000149,ACC-000060,PROD-0069,Cross-sell,2023-05-17 18:07:59,,Qualified,66392.7578125,0.28999999165534973
OPP-000151,ACC-000009,PROD-0025,Upsell,2025-04-17 13:18:53,,Proposal,70616.703125,0.44999998807907104
OPP-000152,ACC-000041,PROD-0021,Renewal,2024-03-13 21:07:14,,Open,74905.796875,0.5199999809265137
OPP-000153,ACC-000010,PROD-0017,Upsell,2025-06-17 07:48:42,,Open,64653.0390625,0.49000000953674316
OPP-000154,ACC-000019,PROD-0009,Cross-sell,2024-08-18 13:01:29,,Proposal,39057.55078125,0.5199999809265137
OPP-000155,ACC-000042,PROD-0048,Renewal,2022-08-27 21:35:23,,Negotiation,75011.75,0.6800000071525574
OPP-000156,ACC-000002,PROD-0097,Upsell,2022-02-19 15:05:54,,Negotiation,43409.75,0.7200000286102295
OPP-000158,ACC-000004,PROD-0070,Expansion,2021-12-11 10:27:23,,Proposal,42300.8984375,0.3400000035762787
OPP-000159,ACC-000058,PROD-0041,Upsell,2022-01-18 22:06:53,,Open,41228.8515625,0.27000001072883606
OPP-000160,ACC-000021,PROD-0042,Renewal,2022-04-11 13:34:39,,Negotiation,35854.44140625,0.6800000071525574
OPP-000161,ACC-000001,PROD-0007,Renewal,2021-08-08 06:28:09,,Proposal,34420.26953125,0.41999998688697815
OPP-000163,ACC-000020,PROD-0034,Upsell,2024-02-11 23:09:42,,Proposal,61550.609375,0.30000001192092896
OPP-000164,ACC-000013,PROD-0068,Renewal,2022-08-17 03:05:17,,Proposal,2681.8701171875,0.550000011920929
OPP-000166,ACC-000059,PROD-0028,Renewal,2024-02-04 20:14:23,,Qualified,7015.5498046875,0.41999998688697815
OPP-000168,ACC-000038,PROD-0099,Cross-sell,2022-06-24 06:07:16,,Qualified,82543.578125,0.44999998807907104
OPP-000169,ACC-000037,PROD-0063,New Business,2022-06-22 06:45:58,,Negotiation,99013.2265625,0.7799999713897705
OPP-000170,ACC-000034,PROD-0002,Cross-sell,2024-05-31 09:02:02,,Negotiation,46939.828125,0.75
OPP-000171,ACC-000033,PROD-0002,Renewal,2021-08-08 02:13:45,,Negotiation,64381.76171875,0.8700000047683716
OPP-000172,ACC-000038,PROD-0081,Cross-sell,2023-01-07 15:57:44,,Proposal,14895.23046875,0.30000001192092896
OPP-000175,ACC-000043,PROD-0059,Upsell,2022-01-22 20:50:26,,Negotiation,44241.8515625,0.800000011920929
OPP-000176,ACC-000005,PROD-0066,New Business,2023-08-17 21:44:48,,Open,99349.546875,0.5099999904632568
OPP-000177,ACC-000049,PROD-0093,New Business,2025-02-02 00:02:55,,Proposal,78884.078125,0.41999998688697815
OPP-000179,ACC-000024,PROD-0093,Upsell,2024-07-08 15:43:33,,Open,75917.65625,0.20000000298023224
OPP-000180,ACC-000014,PROD-0013,Expansion,2024-04-02 15:23:59,,Open,70279.59375,0.33000001311302185
OPP-000181,ACC-000042,PROD-0088,Cross-sell,2023-01-30 11:56:45,,Negotiation,98190.8828125,0.7400000095367432
OPP-000183,ACC-000054,PROD-0003,Expansion,2023-02-20 11:17:43,,Open,24321.08984375,0.3799999952316284
OPP-000184,ACC-000040,PROD-0065,Cross-sell,2023-08-01 00:08:55,,Proposal,98088.90625,0.3700000047683716
OPP-000185,ACC-000003,PROD-0091,New Business,2023-07-04 16:01:21,,Open,82568.28125,0.6200000047683716
OPP-000186,ACC-000043,PROD-0071,Renewal,2022-01-28 04:34:29,,Open,58511.5703125,0.5199999809265137
OPP-000187,ACC-000021,PROD-0041,Upsell,2022-03-10 00:07:39,,Proposal,8662.0,0.5600000023841858
OPP-000189,ACC-000038,PROD-0039,Upsell,2021-08-17 15:20:01,,Proposal,76448.453125,0.3499999940395355
OPP-000190,ACC-000017,PROD-0071,Renewal,2023-03-25 07:02:12,,Open,21330.939453125,0.10999999940395355
OPP-000191,ACC-000006,PROD-0020,Renewal,2024-09-28 05:48:11,,Proposal,68444.6171875,0.5799999833106995
OPP-000193,ACC-000034,PROD-0083,Cross-sell,2023-04-01 05:07:34,,Qualified,51563.609375,0.38999998569488525
OPP-000194,ACC-000059,PROD-0052,Upsell,2022-06-09 07:09:04,,Qualified,4628.14990234375,0.23999999463558197
OPP-000196,ACC-000060,PROD-0056,Upsell,2022-05-09 15:54:45,,Negotiation,90309.890625,0.7300000190734863
OPP-000197,ACC-000021,PROD-0059,Renewal,2024-09-17 17:41:16,,Proposal,86362.96875,0.5600000023841858
OPP-000199,ACC-000057,PROD-0028,New Business,2022-03-30 15:40:57,,Negotiation,34686.1015625,0.800000011920929
OPP-000200,ACC-000003,PROD-0046,Cross-sell,2025-06-07 18:38:29,,Qualified,52954.9609375,0.41999998688697815
OPP-000203,ACC-000013,PROD-0052,Cross-sell,2024-06-01 03:06:33,,Open,33105.640625,0.550000011920929
OPP-000204,ACC-000048,PROD-0005,Renewal,2022-11-15 06:42:56,,Qualified,87955.796875,0.2199999988079071
OPP-000205,ACC-000015,PROD-0082,New Business,2025-03-06 01:26:22,,Negotiation,36358.890625,0.7699999809265137
OPP-000207,ACC-000061,PROD-0018,Renewal,2022-07-16 22:29:50,,Negotiation,22644.349609375,0.7099999785423279
OPP-000208,ACC-000061,PROD-0064,Expansion,2023-04-23 18:09:36,,Open,60540.578125,0.5199999809265137
OPP-000209,ACC-000026,PROD-0072,Expansion,2023-03-19 12:15:21,,Qualified,71356.3671875,0.30000001192092896
OPP-000210,ACC-000046,PROD-0085,Expansion,2024-10-16 09:06:40,,Qualified,99597.046875,0.23000000417232513
OPP-000211,ACC-000048,PROD-0048,New Business,2021-09-01 13:07:31,,Proposal,63056.05078125,0.3700000047683716
OPP-000213,ACC-000008,PROD-0045,Upsell,2024-12-30 02:55:24,,Qualified,36316.921875,0.38999998569488525
OPP-000214,ACC-000060,PROD-0079,Cross-sell,2023-02-09 11:06:20,,Open,44753.390625,0.30000001192092896
OPP-000215,ACC-000043,PROD-0013,Upsell,2024-07-21 08:45:54,,Proposal,8108.72021484375,0.38999998569488525
OPP-000216,ACC-000049,PROD-0039,Renewal,2022-10-27 15:23:34,,Negotiation,39273.7890625,0.7699999809265137
OPP-000217,ACC-000045,PROD-0063,New Business,2023-03-02 20:43:56,,Open,3557.2099609375,0.699999988079071
OPP-000218,ACC-000026,PROD-0037,Expansion,2024-02-03 12:16:58,,Qualified,97138.25,0.25
OPP-000219,ACC-000041,PROD-0045,Cross-sell,2025-06-26 11:22:24,,Qualified,57938.66015625,0.44999998807907104
OPP-000220,ACC-000058,PROD-0025,Renewal,2024-08-24 22:56:12,,Open,46508.2890625,0.46000000834465027
OPP-000221,ACC-000005,PROD-0001,Renewal,2023-12-04 00:59:26,,Negotiation,91611.7890625,0.6399999856948853
OPP-000222,ACC-000055,PROD-0017,Expansion,2024-01-07 00:24:49,,Qualified,27597.8203125,0.4699999988079071
OPP-000224,ACC-000005,PROD-0042,New Business,2024-03-20 22:37:25,,Qualified,28331.740234375,0.20999999344348907
OPP-000225,ACC-000016,PROD-0100,Cross-sell,2025-03-20 01:17:04,,Negotiation,46334.19921875,0.6899999976158142
OPP-000227,ACC-000038,PROD-0097,Renewal,2021-08-27 09:33:33,,Qualified,89469.15625,0.4300000071525574
OPP-000228,ACC-000032,PROD-0088,New Business,2023-09-15 08:56:02,,Open,81377.390625,0.2800000011920929
OPP-000230,ACC-000060,PROD-0035,New Business,2023-06-08 08:12:40,,Negotiation,87625.4765625,0.7599999904632568
OPP-000231,ACC-000037,PROD-0001,Expansion,2025-01-03 06:54:00,,Open,95713.5,0.14000000059604645
OPP-000232,ACC-000045,PROD-0011,Renewal,2025-03-23 03:15:12,,Qualified,29948.66015625,0.23000000417232513
OPP-000233,ACC-000051,PROD-0076,Upsell,2021-09-02 11:06:31,,Proposal,47189.12109375,0.36000001430511475
OPP-000234,ACC-000019,PROD-0002,New Business,2025-03-23 03:44:12,,Negotiation,25142.16015625,0.6600000262260437
OPP-000235,ACC-000045,PROD-0068,Upsell,2022-07-15 06:53:45,,Negotiation,6108.22998046875,0.6700000166893005
OPP-000238,ACC-000041,PROD-0068,New Business,2021-08-28 13:08:07,,Open,13758.51953125,0.5600000023841858
OPP-000239,ACC-000054,PROD-0001,Upsell,2023-11-11 22:19:38,,Open,65998.0234375,0.25
OPP-000241,ACC-000056,PROD-0043,New Business,2024-09-29 04:57:23,,Qualified,91085.40625,0.44999998807907104
OPP-000242,ACC-000048,PROD-0013,Expansion,2024-03-04 06:00:39,,Negotiation,3703.5400390625,0.6800000071525574
OPP-000247,ACC-000024,PROD-0024,Cross-sell,2025-01-04 05:40:35,,Open,79864.1015625,0.1899999976158142
OPP-000248,ACC-000027,PROD-0087,Expansion,2022-09-15 17:23:50,,Negotiation,22441.259765625,0.6899999976158142
OPP-000250,ACC-000047,PROD-0075,Expansion,2023-04-15 20:15:38,,Negotiation,44289.28125,0.8600000143051147
OPP-000251,ACC-000016,PROD-0036,Upsell,2022-09-28 22:29:30,,Proposal,64060.6484375,0.49000000953674316
OPP-000252,ACC-000054,PROD-0100,Expansion,2024-02-06 01:01:53,,Negotiation,99730.6015625,0.7699999809265137
OPP-000253,ACC-000005,PROD-0035,Expansion,2025-05-26 05:45:21,,Open,37603.4609375,0.25
OPP-000254,ACC-000027,PROD-0039,Renewal,2021-09-21 07:22:33,,Negotiation,78492.8671875,0.8100000023841858
OPP-000255,ACC-000011,PROD-0037,New Business,2024-06-04 09:02:22,,Open,92456.59375,0.3400000035762787
OPP-000256,ACC-000036,PROD-0075,Renewal,2023-09-09 15:45:15,,Qualified,13600.900390625,0.3700000047683716
OPP-000258,ACC-000042,PROD-0059,Renewal,2023-06-18 17:12:17,,Qualified,95139.3125,0.27000001072883606
OPP-000259,ACC-000061,PROD-0085,Upsell,2025-01-07 18:24:04,,Open,33523.83984375,0.550000011920929
OPP-000260,ACC-000007,PROD-0051,Expansion,2024-03-28 06:08:20,,Proposal,30307.470703125,0.49000000953674316
OPP-000261,ACC-000049,PROD-0070,Cross-sell,2023-05-31 06:15:15,,Qualified,42112.78125,0.47999998927116394
OPP-000264,ACC-000058,PROD-0092,Expansion,2022-04-03 20:05:31,,Proposal,39273.1484375,0.36000001430511475
OPP-000266,ACC-000054,PROD-0019,Expansion,2025-06-24 11:01:47,,Proposal,39471.44140625,0.4000000059604645
OPP-000267,ACC-000013,PROD-0077,Expansion,2025-04-17 20:41:38,,Open,75057.0703125,0.44999998807907104
OPP-000268,ACC-000014,PROD-0051,New Business,2024-06-13 22:44:42,,Proposal,51057.078125,0.6000000238418579
OPP-000269,ACC-000045,PROD-0050,Upsell,2023-10-25 09:15:44,,Negotiation,46556.2890625,0.7200000286102295
OPP-000275,ACC-000035,PROD-0012,Cross-sell,2024-07-09 14:39:52,,Open,97556.640625,0.44999998807907104
OPP-000276,ACC-000002,PROD-0007,Expansion,2025-04-20 03:23:01,,Negotiation,89469.5703125,0.7300000190734863
OPP-000277,ACC-000027,PROD-0016,Cross-sell,2022-05-08 06:17:58,,Proposal,75050.9765625,0.49000000953674316
OPP-000278,ACC-000008,PROD-0099,Upsell,2025-03-30 13:31:11,,Negotiation,89636.546875,0.6499999761581421
OPP-000282,ACC-000009,PROD-0039,Cross-sell,2025-05-07 19:11:48,,Open,16995.630859375,0.6600000262260437
OPP-000283,ACC-000008,PROD-0017,Renewal,2024-07-07 19:14:36,,Proposal,85257.3515625,0.3400000035762787
OPP-000284,ACC-000050,PROD-0078,Renewal,2024-11-16 20:53:15,,Open,85064.1796875,0.3199999928474426
OPP-000287,ACC-000006,PROD-0043,Cross-sell,2021-11-17 05:35:05,,Negotiation,41685.5,0.6200000047683716
OPP-000288,ACC-000036,PROD-0033,New Business,2021-12-22 22:06:22,,Negotiation,17554.849609375,0.6899999976158142
OPP-000289,ACC-000005,PROD-0001,New Business,2024-06-29 15:46:08,,Qualified,29016.5703125,0.4099999964237213
OPP-000290,ACC-000039,PROD-0091,Upsell,2023-05-27 16:30:58,,Negotiation,53045.46875,0.75
OPP-000292,ACC-000023,PROD-0085,Expansion,2021-11-08 02:11:14,,Open,37196.41015625,0.5699999928474426
OPP-000295,ACC-000008,PROD-0029,Upsell,2024-11-08 10:49:44,,Open,65179.921875,0.6800000071525574
OPP-000298,ACC-000008,PROD-0016,Expansion,2023-10-31 12:06:38,,Qualified,14860.6904296875,0.25
OPP-000299,ACC-000001,PROD-0069,New Business,2023-02-09 19:47:12,,Open,86766.4921875,0.41999998688697815
OPP-000302,ACC-000062,PROD-0100,Expansion,2022-12-01 06:38:05,,Open,17308.470703125,0.49000000953674316
OPP-000304,ACC-000002,PROD-0017,Cross-sell,2024-04-18 02:48:07,,Proposal,85297.2421875,0.38999998569488525
OPP-000305,ACC-000046,PROD-0043,Cross-sell,2025-02-27 16:29:24,,Negotiation,61713.1796875,0.8299999833106995
OPP-000306,ACC-000007,PROD-0084,Renewal,2022-02-16 17:28:47,,Negotiation,56011.3515625,0.6399999856948853
OPP-000307,ACC-000003,PROD-0023,Upsell,2022-03-07 10:09:11,,Qualified,67739.328125,0.3199999928474426
OPP-000308,ACC-000032,PROD-0072,Cross-sell,2025-03-09 05:37:54,,Qualified,67695.171875,0.4300000071525574
OPP-000309,ACC-000007,PROD-0029,Upsell,2022-02-08 05:04:57,,Qualified,72813.1484375,0.47999998927116394
OPP-000310,ACC-000047,PROD-0052,Cross-sell,2022-04-02 10:21:54,,Proposal,32574.7109375,0.4000000059604645
OPP-000311,ACC-000024,PROD-0076,Cross-sell,2024-10-05 09:58:21,,Negotiation,54928.390625,0.8500000238418579
OPP-000312,ACC-000039,PROD-0056,Cross-sell,2024-07-08 16:47:00,,Qualified,69257.5703125,0.3799999952316284
OPP-000313,ACC-000001,PROD-0049,Cross-sell,2021-09-16 06:43:21,,Qualified,39462.21875,0.3400000035762787
OPP-000314,ACC-000029,PROD-0006,New Business,2023-04-11 08:52:05,,Open,15246.259765625,0.3499999940395355
OPP-000315,ACC-000020,PROD-0076,Cross-sell,2022-10-20 03:07:13,,Proposal,14861.330078125,0.3100000023841858
OPP-000320,ACC-000025,PROD-0023,Upsell,2025-04-24 09:47:58,,Open,81090.28125,0.10999999940395355
OPP-000321,ACC-000049,PROD-0028,Expansion,2022-01-18 23:03:08,,Qualified,62437.6796875,0.3100000023841858
OPP-000322,ACC-000055,PROD-0011,Upsell,2022-05-09 16:35:19,,Qualified,92240.640625,0.20999999344348907
OPP-000323,ACC-000054,PROD-0018,Renewal,2021-07-04 01:26:41,,Open,19198.279296875,0.6299999952316284
OPP-000327,ACC-000011,PROD-0065,Upsell,2025-02-16 09:45:52,,Negotiation,78243.2734375,0.7300000190734863
OPP-000330,ACC-000010,PROD-0024,Renewal,2024-01-29 01:00:45,,Negotiation,71838.671875,0.8199999928474426
OPP-000334,ACC-000051,PROD-0095,New Business,2023-07-07 13:33:26,,Proposal,94553.109375,0.5
OPP-000335,ACC-000006,PROD-0086,Renewal,2023-06-03 10:19:32,,Open,96950.453125,0.5299999713897705
OPP-000337,ACC-000031,PROD-0071,Cross-sell,2021-10-29 22:09:31,,Open,79918.203125,0.4699999988079071
OPP-000338,ACC-000026,PROD-0062,Renewal,2024-01-18 12:42:25,,Proposal,3380.0,0.4399999976158142
