0,1,2,3,4
OPP-000326,Expansion,Closed Won,82121.2578125,Non-Renewed
OPP-000332,Expansion,Closed Won,74547.078125,Non-Renewed
OPP-000347,Renewal,Closed Won,19124.7890625,Renewed
OPP-000358,Cross-sell,Closed Won,92720.0234375,Non-Renewed
OPP-000360,Cross-sell,Closed Won,12169.5498046875,Non-Renewed
OPP-000362,Expansion,Closed Won,42863.1015625,Renewed
OPP-000366,New Business,Closed Won,5941.93017578125,Non-Renewed
OPP-000380,Cross-sell,Closed Won,81663.9375,Non-Renewed
OPP-000397,Expansion,Closed Won,32545.810546875,Non-Renewed
OPP-000400,Renewal,Closed Won,42904.98046875,Renewed
OPP-000401,Renewal,Closed Won,67311.2421875,Non-Renewed
OPP-000405,Renewal,Closed Won,60229.0,Auto-Renew
OPP-000416,Upsell,Closed Won,54726.58984375,Pending
OPP-000419,Renewal,Closed Won,64714.55078125,Pending
OPP-000421,New Business,Closed Won,34798.44140625,Auto-Renew
OPP-000430,Expansion,Closed Won,41399.359375,Pending
OPP-000435,New Business,Closed Won,64948.1796875,Pending
OPP-000439,Cross-sell,Closed Won,86206.9921875,Non-Renewed
OPP-000440,Expansion,Closed Won,77540.8203125,Auto-Renew
OPP-000443,Cross-sell,Closed Won,6062.52978515625,Renewed
OPP-000455,Expansion,Closed Won,44783.921875,Non-Renewed
OPP-000493,Cross-sell,Closed Won,60495.578125,Non-Renewed
OPP-000497,Upsell,Closed Won,12247.8701171875,Non-Renewed
OPP-000502,Cross-sell,Closed Won,49542.921875,Pending
OPP-000504,New Business,Closed Won,41231.8515625,Non-Renewed
OPP-000506,Renewal,Closed Won,91471.7421875,Non-Renewed
OPP-000509,Expansion,Closed Won,42737.578125,Renewed
OPP-000513,Expansion,Closed Won,91166.828125,Non-Renewed
OPP-000523,Expansion,Closed Won,64987.58984375,Non-Renewed
OPP-000532,Expansion,Closed Won,48548.2109375,Auto-Renew
OPP-000533,Upsell,Closed Won,35350.44140625,Renewed
OPP-000552,Upsell,Closed Won,44028.71875,Non-Renewed
OPP-000555,Upsell,Closed Won,65035.6796875,Non-Renewed
OPP-000556,New Business,Closed Won,51702.73828125,Pending
OPP-000561,Cross-sell,Closed Won,54184.48046875,Renewed
OPP-000569,Expansion,Closed Won,6880.10009765625,Non-Renewed
OPP-000578,Upsell,Closed Won,2566.449951171875,Pending
OPP-000580,Renewal,Closed Won,42858.48828125,Pending
OPP-000597,Cross-sell,Closed Won,19791.119140625,Renewed
OPP-000600,Upsell,Closed Won,59510.2109375,Auto-Renew
OPP-000604,Expansion,Closed Won,69014.390625,Non-Renewed
OPP-000616,Cross-sell,Closed Won,21394.359375,Non-Renewed
OPP-000622,Cross-sell,Closed Won,82187.2734375,Auto-Renew
OPP-000624,Upsell,Closed Won,89200.96875,Non-Renewed
OPP-000625,Upsell,Closed Won,90205.9375,Auto-Renew
OPP-000632,New Business,Closed Won,61699.73046875,Non-Renewed
OPP-000634,New Business,Closed Won,73903.3984375,Non-Renewed
OPP-000638,Expansion,Closed Won,91088.9375,Non-Renewed
OPP-000645,Renewal,Closed Won,19056.91015625,Non-Renewed
OPP-000669,Upsell,Closed Won,77294.390625,Auto-Renew
OPP-000670,New Business,Closed Won,88039.9609375,Renewed
OPP-000671,Upsell,Closed Won,54294.76171875,Renewed
OPP-000672,Upsell,Closed Won,1722.8299560546875,Pending
OPP-000677,Renewal,Closed Won,81168.03125,Auto-Renew
OPP-000683,Renewal,Closed Won,92215.2734375,Renewed
OPP-000697,Renewal,Closed Won,73133.921875,Auto-Renew
OPP-000699,Upsell,Closed Won,23958.599609375,Auto-Renew
OPP-000708,New Business,Closed Won,33135.140625,Non-Renewed
OPP-000712,Cross-sell,Closed Won,54598.73046875,Renewed
OPP-000716,New Business,Closed Won,51184.078125,Renewed
OPP-000718,Renewal,Closed Won,7700.25,Renewed
OPP-000722,Cross-sell,Closed Won,41279.80078125,Non-Renewed
OPP-000723,Cross-sell,Closed Won,78991.5625,Non-Renewed
OPP-000729,Upsell,Closed Won,80413.9609375,Pending
OPP-000737,Cross-sell,Closed Won,15566.8203125,Non-Renewed
OPP-000746,Cross-sell,Closed Won,12796.650390625,Renewed
OPP-000748,Upsell,Closed Won,91039.6328125,Auto-Renew
OPP-000751,Upsell,Closed Won,41792.5,Auto-Renew
OPP-000752,New Business,Closed Won,65660.390625,Non-Renewed
OPP-000771,Upsell,Closed Won,40624.30859375,Pending
OPP-000773,Expansion,Closed Won,2949.68994140625,Renewed
OPP-000774,Expansion,Closed Won,42886.9609375,Non-Renewed
OPP-000778,Expansion,Closed Won,89640.7421875,Non-Renewed
OPP-000783,Expansion,Closed Won,95920.453125,Auto-Renew
OPP-000785,New Business,Closed Won,14010.91015625,Pending
OPP-000789,Upsell,Closed Won,15731.150390625,Pending
OPP-000803,Cross-sell,Closed Won,85359.28125,Renewed
OPP-000822,New Business,Closed Won,72901.828125,Non-Renewed
OPP-000837,Renewal,Closed Won,32006.66015625,Non-Renewed
OPP-000842,New Business,Closed Won,25136.509765625,Auto-Renew
OPP-000843,Renewal,Closed Won,63024.26953125,Pending
OPP-000845,New Business,Closed Won,51150.109375,Non-Renewed
OPP-000864,Expansion,Closed Won,23307.490234375,Non-Renewed
OPP-000877,Upsell,Closed Won,43143.9609375,Non-Renewed
OPP-000879,Cross-sell,Closed Won,74568.4296875,Non-Renewed
OPP-000884,Renewal,Closed Won,33298.46875,Non-Renewed
OPP-000886,Renewal,Closed Won,87834.2265625,Pending
OPP-000887,New Business,Closed Won,4790.35009765625,Renewed
OPP-000888,New Business,Closed Won,20551.650390625,Renewed
OPP-000893,Upsell,Closed Won,94591.7109375,Renewed
OPP-000897,New Business,Closed Won,92202.1484375,Renewed
OPP-000902,Expansion,Closed Won,61306.0703125,Non-Renewed
OPP-000924,Expansion,Closed Won,20539.75,Non-Renewed
OPP-000926,Renewal,Closed Won,32191.0390625,Pending
OPP-000930,Renewal,Closed Won,97463.1328125,Non-Renewed
OPP-000931,Cross-sell,Closed Won,55550.21875,Pending
OPP-000933,Cross-sell,Closed Won,37103.1015625,Pending
OPP-000936,Renewal,Closed Won,41584.30859375,Auto-Renew
OPP-000958,New Business,Closed Won,67552.8828125,Non-Renewed
OPP-000968,Renewal,Closed Won,66647.546875,Non-Renewed
OPP-000979,Cross-sell,Closed Won,82054.6875,Non-Renewed
OPP-000981,Cross-sell,Closed Won,34159.69921875,Non-Renewed
OPP-000985,Renewal,Closed Won,34258.94921875,Auto-Renew
OPP-000996,Cross-sell,Closed Won,80180.2734375,Renewed
OPP-000997,Upsell,Closed Won,90503.8125,Pending
OPP-001000,Upsell,Closed Won,70784.3984375,Non-Renewed
OPP-001021,Expansion,Closed Won,58016.140625,Pending
OPP-001022,Upsell,Closed Won,23160.720703125,Non-Renewed
OPP-001041,Upsell,Closed Won,9544.9296875,Non-Renewed
OPP-001048,Cross-sell,Closed Won,76580.796875,Non-Renewed
OPP-001055,Expansion,Closed Won,69312.15625,Pending
OPP-001063,Expansion,Closed Won,53657.01953125,Auto-Renew
OPP-001065,Cross-sell,Closed Won,40632.1484375,Non-Renewed
OPP-001069,Renewal,Closed Won,75103.0625,Auto-Renew
OPP-001071,Renewal,Closed Won,45755.62890625,Non-Renewed
OPP-001089,Upsell,Closed Won,20997.330078125,Auto-Renew
OPP-001110,Expansion,Closed Won,84670.5078125,Renewed
OPP-001115,Renewal,Closed Won,44013.078125,Pending
OPP-001128,Expansion,Closed Won,10365.7099609375,Non-Renewed
OPP-001132,Upsell,Closed Won,34159.9609375,Renewed
OPP-001136,Cross-sell,Closed Won,2554.320068359375,Renewed
OPP-001151,Cross-sell,Closed Won,19479.80078125,Auto-Renew
OPP-001157,New Business,Closed Won,13971.1904296875,Non-Renewed
OPP-001164,Expansion,Closed Won,75370.140625,Non-Renewed
OPP-001169,Renewal,Closed Won,79110.328125,Renewed
OPP-001173,Cross-sell,Closed Won,43489.91015625,Pending
OPP-001176,Cross-sell,Closed Won,84412.2890625,Renewed
OPP-001189,Renewal,Closed Won,74855.140625,Renewed
OPP-001190,Expansion,Closed Won,9586.9599609375,Non-Renewed
OPP-001199,Cross-sell,Closed Won,22484.060546875,Renewed
OPP-001205,Upsell,Closed Won,73885.453125,Non-Renewed
OPP-001208,Renewal,Closed Won,55989.08984375,Pending
OPP-001229,Renewal,Closed Won,25989.609375,Auto-Renew
OPP-001231,Cross-sell,Closed Won,21648.80078125,Non-Renewed
OPP-001233,New Business,Closed Won,9840.58984375,Pending
OPP-001237,Cross-sell,Closed Won,26893.30078125,Renewed
OPP-001241,Renewal,Closed Won,18939.220703125,Auto-Renew
OPP-001264,Expansion,Closed Won,86441.171875,Non-Renewed
OPP-001268,Expansion,Closed Won,88421.5703125,Non-Renewed
OPP-001270,Renewal,Closed Won,41711.37109375,Renewed
OPP-001278,Expansion,Closed Won,97200.0625,Non-Renewed
OPP-001280,Upsell,Closed Won,94810.5234375,Non-Renewed
OPP-001281,New Business,Closed Won,85118.9296875,Pending
OPP-001283,Cross-sell,Closed Won,12630.0302734375,Non-Renewed
OPP-001288,Upsell,Closed Won,83156.8515625,Pending
OPP-001298,Upsell,Closed Won,45290.359375,Auto-Renew
OPP-001301,Expansion,Closed Won,68096.703125,Pending
OPP-001302,New Business,Closed Won,90262.1484375,Non-Renewed
OPP-001311,Cross-sell,Closed Won,67154.7421875,Renewed
OPP-001314,Expansion,Closed Won,94102.671875,Auto-Renew
OPP-001315,Upsell,Closed Won,56491.109375,Pending
OPP-001316,Upsell,Closed Won,30418.26953125,Non-Renewed
OPP-001323,Cross-sell,Closed Won,81226.9921875,Renewed
OPP-001324,Renewal,Closed Won,79431.640625,Non-Renewed
OPP-001326,Upsell,Closed Won,78368.7265625,Non-Renewed
OPP-001342,New Business,Closed Won,62025.7109375,Non-Renewed
OPP-001343,Cross-sell,Closed Won,31899.009765625,Non-Renewed
OPP-001344,Cross-sell,Closed Won,43382.55859375,Non-Renewed
OPP-001346,Cross-sell,Closed Won,29058.4296875,Pending
OPP-001351,Cross-sell,Closed Won,70084.6015625,Non-Renewed
OPP-001352,New Business,Closed Won,80144.3828125,Non-Renewed
OPP-001356,Cross-sell,Closed Won,31154.130859375,Renewed
OPP-001358,Cross-sell,Closed Won,32255.2109375,Non-Renewed
OPP-001369,Expansion,Closed Won,45566.51171875,Non-Renewed
OPP-001374,Renewal,Closed Won,51145.53125,Auto-Renew
OPP-001377,New Business,Closed Won,40725.55078125,Auto-Renew
OPP-001384,New Business,Closed Won,24658.5703125,Renewed
OPP-001392,New Business,Closed Won,25515.869140625,Non-Renewed
OPP-001399,Upsell,Closed Won,25296.5703125,Non-Renewed
OPP-001412,Expansion,Closed Won,9478.7900390625,Auto-Renew
OPP-001419,Cross-sell,Closed Won,56414.8984375,Non-Renewed
OPP-001424,Upsell,Closed Won,91952.796875,Non-Renewed
OPP-001426,Cross-sell,Closed Won,4932.0,Renewed
OPP-001427,Cross-sell,Closed Won,88364.5,Non-Renewed
OPP-001443,Expansion,Closed Won,24488.529296875,Non-Renewed
OPP-001454,New Business,Closed Won,66764.8671875,Auto-Renew
OPP-001456,New Business,Closed Won,37272.30078125,Non-Renewed
OPP-001457,Expansion,Closed Won,68222.5078125,Renewed
OPP-001466,Cross-sell,Closed Won,36808.01171875,Auto-Renew
OPP-001468,Cross-sell,Closed Won,74149.2734375,Auto-Renew
OPP-001487,Cross-sell,Closed Won,38538.8984375,Non-Renewed
OPP-001488,Expansion,Closed Won,8463.349609375,Pending
OPP-001489,New Business,Closed Won,81813.90625,Non-Renewed
OPP-001492,Renewal,Closed Won,53466.80859375,Non-Renewed
OPP-001499,Renewal,Closed Won,30467.490234375,Pending
OPP-001510,Upsell,Closed Won,96534.09375,Auto-Renew
OPP-001513,Upsell,Closed Won,72127.390625,Pending
OPP-001514,Upsell,Closed Won,97752.96875,Pending
OPP-001515,Upsell,Closed Won,21809.380859375,Non-Renewed
OPP-001521,Expansion,Closed Won,47240.19140625,Auto-Renew
OPP-001532,Renewal,Closed Won,41817.8515625,Non-Renewed
OPP-001544,New Business,Closed Won,39549.828125,Non-Renewed
OPP-001546,New Business,Closed Won,77783.71875,Non-Renewed
OPP-001548,Renewal,Closed Won,34499.3984375,Non-Renewed
OPP-001557,Expansion,Closed Won,21290.48046875,Pending
OPP-001566,Expansion,Closed Won,1489.739990234375,Non-Renewed
OPP-001569,Cross-sell,Closed Won,20204.080078125,Non-Renewed
OPP-001576,New Business,Closed Won,94510.53125,Auto-Renew
OPP-001578,Renewal,Closed Won,80369.0625,Non-Renewed
OPP-001584,Upsell,Closed Won,22001.619140625,Renewed
OPP-001587,New Business,Closed Won,5877.759765625,Auto-Renew
OPP-001588,Upsell,Closed Won,6356.68994140625,Non-Renewed
OPP-001592,New Business,Closed Won,32728.5703125,Non-Renewed
OPP-001597,Upsell,Closed Won,86621.9609375,Pending
OPP-001599,Cross-sell,Closed Won,79187.296875,Non-Renewed
OPP-001602,Expansion,Closed Won,69311.796875,Non-Renewed
OPP-001612,Expansion,Closed Won,45322.62890625,Pending
OPP-001613,Cross-sell,Closed Won,1861.77001953125,Pending
OPP-001633,Renewal,Closed Won,96590.0625,Non-Renewed
OPP-001637,Cross-sell,Closed Won,55377.1484375,Pending
OPP-001646,New Business,Closed Won,19503.3203125,Non-Renewed
OPP-001647,Cross-sell,Closed Won,10774.08984375,Non-Renewed
OPP-001648,Renewal,Closed Won,49916.640625,Non-Renewed
OPP-001657,Expansion,Closed Won,55301.2890625,Non-Renewed
OPP-001662,Cross-sell,Closed Won,17189.23046875,Non-Renewed
OPP-001674,Expansion,Closed Won,60678.23828125,Auto-Renew
OPP-001675,New Business,Closed Won,97357.6484375,Renewed
OPP-001676,Cross-sell,Closed Won,85357.8671875,Non-Renewed
OPP-001677,Cross-sell,Closed Won,38065.51171875,Renewed
OPP-001691,Renewal,Closed Won,91400.328125,Renewed
OPP-001704,New Business,Closed Won,97335.3671875,Auto-Renew
OPP-001707,Renewal,Closed Won,31769.349609375,Non-Renewed
OPP-001709,New Business,Closed Won,64450.0703125,Renewed
OPP-001713,Renewal,Closed Won,59309.859375,Non-Renewed
OPP-001714,Expansion,Closed Won,78867.28125,Non-Renewed
OPP-001715,Cross-sell,Closed Won,82173.328125,Non-Renewed
OPP-001721,Expansion,Closed Won,69462.8125,Renewed
OPP-001722,Expansion,Closed Won,98556.15625,Renewed
OPP-001724,Cross-sell,Closed Won,23029.2890625,Auto-Renew
OPP-001725,Renewal,Closed Won,49066.76953125,Renewed
OPP-001742,Renewal,Closed Won,49519.16015625,Pending
OPP-001744,New Business,Closed Won,70404.2890625,Non-Renewed
OPP-001746,Renewal,Closed Won,35185.78125,Non-Renewed
OPP-001756,Expansion,Closed Won,76429.859375,Non-Renewed
OPP-001767,Renewal,Closed Won,42965.98046875,Renewed
OPP-001792,New Business,Closed Won,22022.169921875,Non-Renewed
OPP-001804,New Business,Closed Won,2652.820068359375,Non-Renewed
OPP-001814,New Business,Closed Won,44896.83984375,Renewed
OPP-001823,New Business,Closed Won,99541.6484375,Non-Renewed
OPP-001834,New Business,Closed Won,6908.56982421875,Renewed
OPP-001842,Upsell,Closed Won,28138.029296875,Non-Renewed
OPP-001848,Cross-sell,Closed Won,43626.76953125,Non-Renewed
OPP-001857,Upsell,Closed Won,30239.2890625,Auto-Renew
OPP-001858,Renewal,Closed Won,25809.640625,Pending
OPP-001863,Renewal,Closed Won,49334.44140625,Auto-Renew
OPP-001864,Upsell,Closed Won,11614.9296875,Non-Renewed
OPP-001867,Expansion,Closed Won,39982.05078125,Non-Renewed
OPP-001869,Upsell,Closed Won,68159.6875,Non-Renewed
OPP-001877,Renewal,Closed Won,85765.171875,Pending
OPP-001882,Cross-sell,Closed Won,89886.421875,Non-Renewed
OPP-001885,Renewal,Closed Won,33441.48828125,Auto-Renew
OPP-001903,Renewal,Closed Won,16571.130859375,Non-Renewed
OPP-001909,Expansion,Closed Won,79503.34375,Non-Renewed
OPP-001913,Cross-sell,Closed Won,23134.220703125,Auto-Renew
OPP-001920,Cross-sell,Closed Won,83675.9765625,Non-Renewed
OPP-001923,Expansion,Closed Won,81428.3828125,Non-Renewed
OPP-001946,Renewal,Closed Won,44123.51953125,Auto-Renew
OPP-001947,New Business,Closed Won,13153.8203125,Non-Renewed
OPP-001952,Cross-sell,Closed Won,82871.3203125,Non-Renewed
OPP-001960,Upsell,Closed Won,82883.359375,Non-Renewed
OPP-001975,Renewal,Closed Won,85923.0,Non-Renewed
OPP-001978,New Business,Closed Won,23969.359375,Non-Renewed
OPP-001984,New Business,Closed Won,39614.76953125,Auto-Renew
OPP-001985,Renewal,Closed Won,93093.2890625,Non-Renewed
OPP-001994,Renewal,Closed Won,75113.8515625,Non-Renewed
OPP-001999,Renewal,Closed Won,81721.7109375,Renewed
OPP-002006,Renewal,Closed Won,53098.55859375,Pending
OPP-002012,Expansion,Closed Won,30734.509765625,Non-Renewed
OPP-002013,Expansion,Closed Won,79528.15625,Renewed
OPP-002015,Cross-sell,Closed Won,60428.359375,Pending
OPP-002028,Expansion,Closed Won,93835.90625,Renewed
OPP-002029,New Business,Closed Won,61640.69140625,Renewed
OPP-002030,Upsell,Closed Won,19404.5390625,Non-Renewed
OPP-002035,Upsell,Closed Won,89576.828125,Non-Renewed
OPP-002036,Expansion,Closed Won,69283.8671875,Non-Renewed
OPP-002038,Upsell,Closed Won,55563.41015625,Auto-Renew
OPP-002043,Upsell,Closed Won,11568.9697265625,Pending
OPP-002045,New Business,Closed Won,9362.6396484375,Non-Renewed
OPP-002062,Upsell,Closed Won,4486.580078125,Renewed
OPP-002079,New Business,Closed Won,19936.890625,Renewed
OPP-002080,Cross-sell,Closed Won,21574.349609375,Non-Renewed
OPP-002085,Expansion,Closed Won,87961.7890625,Non-Renewed
OPP-002092,Expansion,Closed Won,11079.099609375,Pending
OPP-002096,New Business,Closed Won,81102.84375,Non-Renewed
OPP-002103,Renewal,Closed Won,55682.140625,Non-Renewed
OPP-002108,Renewal,Closed Won,23612.80078125,Renewed
OPP-002109,Upsell,Closed Won,45897.87109375,Non-Renewed
OPP-002118,Cross-sell,Closed Won,85071.5390625,Non-Renewed
OPP-002126,New Business,Closed Won,88478.4609375,Auto-Renew
OPP-002138,Renewal,Closed Won,72557.0390625,Renewed
OPP-002146,Renewal,Closed Won,98059.5703125,Non-Renewed
OPP-002147,Cross-sell,Closed Won,75934.5078125,Non-Renewed
OPP-002149,Cross-sell,Closed Won,28154.66015625,Non-Renewed
OPP-002152,Cross-sell,Closed Won,66910.34375,Renewed
OPP-002163,Renewal,Closed Won,65618.28125,Auto-Renew
OPP-002169,Upsell,Closed Won,72444.359375,Pending
OPP-002170,New Business,Closed Won,11263.2099609375,Pending
OPP-002173,Cross-sell,Closed Won,56213.87109375,Auto-Renew
OPP-002176,Expansion,Closed Won,38202.62890625,Pending
OPP-002178,Upsell,Closed Won,1308.22998046875,Non-Renewed
OPP-002183,Upsell,Closed Won,28752.91015625,Non-Renewed
OPP-002191,New Business,Closed Won,43728.30859375,Auto-Renew
OPP-002200,New Business,Closed Won,86545.4296875,Non-Renewed
OPP-002210,Expansion,Closed Won,13042.330078125,Non-Renewed
OPP-002212,New Business,Closed Won,68635.203125,Renewed
OPP-002224,Upsell,Closed Won,65559.7421875,Pending
OPP-002246,Upsell,Closed Won,94797.1328125,Auto-Renew
OPP-002250,Renewal,Closed Won,44907.91015625,Auto-Renew
OPP-002252,Upsell,Closed Won,88089.0,Non-Renewed
OPP-002255,New Business,Closed Won,10932.8603515625,Pending
OPP-002260,Renewal,Closed Won,6696.14990234375,Non-Renewed
OPP-002261,Cross-sell,Closed Won,90613.8515625,Non-Renewed
OPP-002264,Expansion,Closed Won,94980.390625,Pending
OPP-002277,Renewal,Closed Won,49874.828125,Non-Renewed
OPP-002287,Cross-sell,Closed Won,95117.34375,Non-Renewed
OPP-002292,New Business,Closed Won,49598.03125,Non-Renewed
OPP-002296,Renewal,Closed Won,51829.80078125,Non-Renewed
OPP-002298,Upsell,Closed Won,50303.76171875,Non-Renewed
OPP-002311,Cross-sell,Closed Won,96809.578125,Non-Renewed
OPP-002317,Renewal,Closed Won,39547.75,Non-Renewed
OPP-002318,Cross-sell,Closed Won,66120.9375,Renewed
OPP-002321,Expansion,Closed Won,97597.3671875,Non-Renewed
OPP-002322,Upsell,Closed Won,52990.21875,Non-Renewed
OPP-002333,New Business,Closed Won,10985.4404296875,Non-Renewed
OPP-002336,New Business,Closed Won,42231.25,Renewed
OPP-002344,Cross-sell,Closed Won,35833.83984375,Renewed
OPP-002347,New Business,Closed Won,90392.921875,Non-Renewed
OPP-002348,Upsell,Closed Won,18686.900390625,Non-Renewed
OPP-002352,Upsell,Closed Won,41815.69921875,Pending
OPP-002354,Renewal,Closed Won,15420.1904296875,Auto-Renew
OPP-002360,Cross-sell,Closed Won,50408.41015625,Auto-Renew
OPP-002369,Cross-sell,Closed Won,80776.53125,Auto-Renew
OPP-002379,Expansion,Closed Won,29395.3203125,Auto-Renew
OPP-002386,Expansion,Closed Won,43313.83984375,Renewed
OPP-002390,Upsell,Closed Won,91533.5703125,Non-Renewed
OPP-002393,Expansion,Closed Won,96157.2890625,Pending
OPP-002399,Expansion,Closed Won,73288.2734375,Non-Renewed
OPP-002405,Renewal,Closed Won,45228.80859375,Non-Renewed
OPP-002425,Expansion,Closed Won,39079.7890625,Auto-Renew
OPP-002436,Cross-sell,Closed Won,41513.58984375,Renewed
OPP-002447,Renewal,Closed Won,36799.96875,Non-Renewed
OPP-002454,Renewal,Closed Won,2927.469970703125,Non-Renewed
OPP-002455,Cross-sell,Closed Won,97224.03125,Renewed
OPP-002459,Upsell,Closed Won,93568.0078125,Non-Renewed
OPP-002463,Upsell,Closed Won,57011.9609375,Non-Renewed
OPP-002471,Expansion,Closed Won,70695.046875,Auto-Renew
OPP-002473,Expansion,Closed Won,43721.828125,Pending
OPP-002474,Cross-sell,Closed Won,71795.21875,Renewed
OPP-002475,Cross-sell,Closed Won,77342.7734375,Renewed
OPP-002483,New Business,Closed Won,7379.1201171875,Non-Renewed
OPP-002488,Expansion,Closed Won,36879.55859375,Pending
OPP-002491,New Business,Closed Won,97570.9375,Renewed
OPP-002507,New Business,Closed Won,43047.80859375,Non-Renewed
OPP-002517,New Business,Closed Won,89997.140625,Auto-Renew
OPP-002520,New Business,Closed Won,68664.328125,Pending
OPP-002535,Renewal,Closed Won,25784.91015625,Auto-Renew
OPP-002536,New Business,Closed Won,8432.01953125,Non-Renewed
OPP-002545,Renewal,Closed Won,83615.3828125,Renewed
OPP-002546,Expansion,Closed Won,59357.76953125,Auto-Renew
OPP-002551,Cross-sell,Closed Won,20809.66015625,Non-Renewed
OPP-002566,Renewal,Closed Won,74392.3984375,Auto-Renew
OPP-002570,New Business,Closed Won,27430.919921875,Renewed
OPP-002594,Expansion,Closed Won,72231.8125,Non-Renewed
OPP-002607,New Business,Closed Won,39975.28125,Non-Renewed
OPP-002620,Cross-sell,Closed Won,10274.23046875,Non-Renewed
OPP-002623,Renewal,Closed Won,37491.58984375,Non-Renewed
OPP-002626,Upsell,Closed Won,89920.1796875,Auto-Renew
OPP-002637,Upsell,Closed Won,3670.2099609375,Non-Renewed
OPP-002646,Expansion,Closed Won,45303.3984375,Pending
OPP-002655,Cross-sell,Closed Won,65490.5390625,Auto-Renew
OPP-002656,Upsell,Closed Won,93554.7421875,Non-Renewed
OPP-002667,Cross-sell,Closed Won,27110.08984375,Non-Renewed
OPP-002671,Expansion,Closed Won,86691.953125,Renewed
OPP-002687,Cross-sell,Closed Won,97067.65625,Non-Renewed
OPP-002688,New Business,Closed Won,81751.8125,Pending
OPP-002695,New Business,Closed Won,1695.010009765625,Non-Renewed
OPP-002701,New Business,Closed Won,61058.12109375,Pending
OPP-002717,Cross-sell,Closed Won,37261.51171875,Non-Renewed
OPP-002724,Cross-sell,Closed Won,70121.8515625,Pending
OPP-002739,Cross-sell,Closed Won,68117.7421875,Pending
OPP-002740,Expansion,Closed Won,98424.640625,Pending
OPP-002743,Renewal,Closed Won,31678.109375,Non-Renewed
OPP-002765,Expansion,Closed Won,28703.66015625,Non-Renewed
OPP-002767,New Business,Closed Won,15924.009765625,Auto-Renew
OPP-002774,Upsell,Closed Won,26802.869140625,Renewed
OPP-002780,New Business,Closed Won,18986.470703125,Non-Renewed
OPP-002783,Upsell,Closed Won,40391.66015625,Pending
OPP-002785,Expansion,Closed Won,29437.130859375,Non-Renewed
OPP-002786,Expansion,Closed Won,45311.4296875,Renewed
OPP-002795,Upsell,Closed Won,16837.91015625,Non-Renewed
OPP-002808,Renewal,Closed Won,84599.796875,Non-Renewed
OPP-002816,Cross-sell,Closed Won,74996.578125,Renewed
OPP-002822,Expansion,Closed Won,69083.640625,Auto-Renew
OPP-002829,New Business,Closed Won,62017.3515625,Auto-Renew
OPP-002840,Upsell,Closed Won,64413.75,Pending
OPP-002843,Expansion,Closed Won,74497.3671875,Auto-Renew
OPP-002851,New Business,Closed Won,5747.64990234375,Auto-Renew
OPP-002863,Expansion,Closed Won,26451.2109375,Non-Renewed
OPP-002869,Cross-sell,Closed Won,71021.7734375,Auto-Renew
OPP-002870,Expansion,Closed Won,67198.8671875,Auto-Renew
