Contract_ID,Opportunity_ID,Account_ID,Start_Date,End_Date,Contract_Value,Contract_Type,Renewal_Status,Cancellation_Reason,Renewal_Type,Contract_Status
CONT-000025,OPP-000244,ACC-000034,2022-02-02 00:00:00,2023-02-02 00:00:00,322264.51,Annual,Non-Renewed,Business Closure,Data & Analytics Services,Inactive
CONT-000026,OPP-000246,ACC-000003,2025-05-10 13:43:46,2026-06-17 13:43:46,437554.72,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000027,OPP-000257,ACC-000016,2021-09-20 00:00:00,2022-09-20 00:00:00,253295.87,Annual,Non-Renewed,Business Closure,Support & Maintenance,Inactive
CONT-000028,OPP-000262,ACC-000026,2025-02-10 13:43:46,2025-08-12 13:43:46,88156.96,Annual,Pending,,System Integration,Active
CONT-000029,OPP-000263,ACC-000004,2025-05-28 13:43:46,2026-03-16 13:43:46,370730.3,Annual,Renewed,,Support & Maintenance,Active
CONT-000030,OPP-000265,ACC-000019,2023-06-03 00:00:00,2023-09-01 00:00:00,360797.29,Quarterly,Non-Renewed,Competitor,Managed Services,Inactive
CONT-000031,OPP-000270,ACC-000057,2024-11-21 13:43:46,2027-02-22 13:43:46,79157.77,Annual,Renewed,,Managed Services,Active
CONT-000032,OPP-000272,ACC-000049,2025-03-29 13:43:46,2026-12-16 13:43:46,478914.64,Quarterly,Pending,,System Integration,Active
CONT-000033,OPP-000273,ACC-000031,2022-09-10 00:00:00,2023-09-10 00:00:00,92344.08,Annual,Non-Renewed,Budget Constraints,Managed Services,Inactive
CONT-000034,OPP-000279,ACC-000004,2024-12-16 13:43:46,2026-04-27 13:43:46,348265.22,Quarterly,Pending,,System Integration,Active
CONT-000035,OPP-000280,ACC-000061,2022-08-17 00:00:00,2023-08-17 00:00:00,61402.04,Annual,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
CONT-000036,OPP-000281,ACC-000006,2025-05-31 13:43:46,2025-10-06 13:43:46,332979.48,Custom,Pending,,Infrastructure & Environment Setup,Active
CONT-000037,OPP-000286,ACC-000008,2025-06-16 13:43:46,2026-03-30 13:43:46,395357.18,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000038,OPP-000316,ACC-000026,2024-07-02 13:43:46,2027-04-06 13:43:46,34005.74,Custom,Auto-Renew,,Managed Services,Active
CONT-000039,OPP-000324,ACC-000032,2024-09-18 00:00:00,2025-03-17 00:00:00,210357.55,Custom,Non-Renewed,Merger/Acquisition,Infrastructure & Environment Setup,Inactive
CONT-000040,OPP-000326,ACC-000055,2022-04-25 00:00:00,2022-07-24 00:00:00,409028.93,Custom,Non-Renewed,Product Issues,Outcome-Based Contracts,Inactive
CONT-000041,OPP-000332,ACC-000050,2021-07-09 00:00:00,2022-07-09 00:00:00,309841.28,Annual,Non-Renewed,Budget Constraints,Development Projects,Inactive
CONT-000042,OPP-000347,ACC-000057,2024-10-20 13:43:46,2026-05-17 13:43:46,440371.25,Annual,Renewed,,Infrastructure & Environment Setup,Active
CONT-000043,OPP-000358,ACC-000029,2022-07-14 00:00:00,2023-05-10 00:00:00,82594.12,Custom,Non-Renewed,Competitor,System Integration,Inactive
CONT-000044,OPP-000360,ACC-000051,2023-10-18 00:00:00,2024-01-16 00:00:00,168522.51,Quarterly,Non-Renewed,Budget Constraints,Professional Services,Inactive
CONT-000045,OPP-000362,ACC-000056,2025-01-31 13:43:46,2026-07-24 13:43:46,270292.55,Quarterly,Renewed,,Product Licensing,Active
CONT-000046,OPP-000366,ACC-000059,2024-01-17 00:00:00,2024-12-12 00:00:00,424412.17,Custom,Non-Renewed,Budget Constraints,Development Projects,Inactive
CONT-000047,OPP-000380,ACC-000036,2024-01-15 00:00:00,2024-04-14 00:00:00,80366.56,Quarterly,Non-Renewed,Business Closure,Outcome-Based Contracts,Inactive
CONT-000048,OPP-000397,ACC-000030,2021-12-05 00:00:00,2022-12-05 00:00:00,15460.52,Annual,Non-Renewed,Competitor,Data & Analytics Services,Inactive
CONT-000049,OPP-000400,ACC-000006,2025-03-21 13:43:46,2026-08-20 13:43:46,360632.01,Annual,Renewed,,Outcome-Based Contracts,Active
CONT-000050,OPP-000401,ACC-000017,2021-04-27 00:00:00,2021-07-26 00:00:00,32874.16,Quarterly,Non-Renewed,Budget Constraints,Product Licensing,Inactive
CONT-000051,OPP-000405,ACC-000055,2024-08-27 13:43:46,2026-03-10 13:43:46,419680.89,Custom,Auto-Renew,,Development Projects,Active
CONT-000052,OPP-000416,ACC-000031,2024-11-30 13:43:46,2027-03-04 13:43:46,301133.86,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000053,OPP-000419,ACC-000037,2025-03-13 13:43:46,2026-09-20 13:43:46,65665.66,Quarterly,Pending,,Infrastructure & Environment Setup,Active
CONT-000054,OPP-000421,ACC-000037,2025-04-18 13:43:46,2026-05-24 13:43:46,59602.32,Annual,Auto-Renew,,Staff Augmentation,Active
CONT-000055,OPP-000430,ACC-000010,2025-06-26 13:43:46,2026-08-16 13:43:46,255288.93,Annual,Pending,,Support & Maintenance,Active
CONT-000056,OPP-000435,ACC-000035,2025-02-06 13:43:46,2027-05-22 13:43:46,369883.13,Annual,Pending,,System Integration,Active
CONT-000057,OPP-000439,ACC-000034,2023-05-12 00:00:00,2023-08-10 00:00:00,9191.81,Quarterly,Non-Renewed,Competitor,Infrastructure & Environment Setup,Inactive
CONT-000058,OPP-000440,ACC-000033,2024-10-04 13:43:46,2026-04-03 13:43:46,185325.57,Quarterly,Auto-Renew,,Support & Maintenance,Active
CONT-000059,OPP-000443,ACC-000018,2024-12-29 13:43:46,2026-10-20 13:43:46,58702.1,Annual,Renewed,,Development Projects,Active
CONT-000060,OPP-000455,ACC-000007,2021-11-01 00:00:00,2022-03-31 00:00:00,448629.92,Custom,Non-Renewed,Competitor,Development Projects,Inactive
CONT-000061,OPP-000493,ACC-000012,2024-03-09 00:00:00,2025-03-09 00:00:00,68463.01,Annual,Non-Renewed,Business Closure,Support & Maintenance,Inactive
CONT-000062,OPP-000497,ACC-000012,2023-09-03 00:00:00,2023-12-02 00:00:00,310392.71,Quarterly,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000063,OPP-000502,ACC-000004,2025-02-15 13:43:46,2026-11-02 13:43:46,203684.84,Custom,Pending,,Staff Augmentation,Active
CONT-000064,OPP-000504,ACC-000028,2021-05-01 00:00:00,2021-09-28 00:00:00,371765.76,Custom,Non-Renewed,Product Issues,System Integration,Inactive
CONT-000065,OPP-000506,ACC-000020,2022-08-23 00:00:00,2022-11-21 00:00:00,45504.09,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000066,OPP-000509,ACC-000011,2024-07-04 13:43:46,2027-03-31 13:43:46,142581.87,Quarterly,Renewed,,Staff Augmentation,Active
CONT-000067,OPP-000513,ACC-000014,2021-02-18 00:00:00,2022-02-18 00:00:00,345747.66,Annual,Non-Renewed,Business Closure,Infrastructure & Environment Setup,Inactive
CONT-000068,OPP-000523,ACC-000046,2022-07-12 00:00:00,2022-10-10 00:00:00,376488.54,Quarterly,Non-Renewed,Competitor,Managed Services,Inactive
CONT-000069,OPP-000532,ACC-000012,2025-05-29 13:43:46,2025-10-18 13:43:46,344503.16,Annual,Auto-Renew,,Professional Services,Active
CONT-000070,OPP-000533,ACC-000039,2025-03-15 13:43:46,2027-01-17 13:43:46,43988.54,Quarterly,Renewed,,Professional Services,Active
CONT-000071,OPP-000552,ACC-000048,2024-04-19 00:00:00,2025-04-19 00:00:00,94002.95,Annual,Non-Renewed,Merger/Acquisition,Outcome-Based Contracts,Inactive
CONT-000072,OPP-000555,ACC-000027,2023-02-12 00:00:00,2023-08-11 00:00:00,368077.68,Custom,Non-Renewed,Product Issues,Data & Analytics Services,Inactive
CONT-000073,OPP-000556,ACC-000004,2025-02-03 13:43:46,2026-11-18 13:43:46,434295.37,Annual,Pending,,Infrastructure & Environment Setup,Active
CONT-000074,OPP-000561,ACC-000048,2025-01-09 13:43:46,2025-08-28 13:43:46,70439.01,Quarterly,Renewed,,Staff Augmentation,Active
CONT-000075,OPP-000569,ACC-000049,2022-01-12 00:00:00,2022-04-12 00:00:00,244332.4,Quarterly,Non-Renewed,Merger/Acquisition,Product Licensing,Inactive
CONT-000076,OPP-000578,ACC-000042,2025-05-20 13:43:46,2025-10-23 13:43:46,267131.55,Custom,Pending,,Staff Augmentation,Active
CONT-000077,OPP-000580,ACC-000012,2025-02-10 13:43:46,2027-05-01 13:43:46,406295.48,Quarterly,Pending,,Support & Maintenance,Active
CONT-000078,OPP-000597,ACC-000004,2025-02-04 13:43:46,2025-07-13 13:43:46,356858.44,Annual,Renewed,,Support & Maintenance,Active
CONT-000079,OPP-000600,ACC-000036,2025-02-14 13:43:46,2026-05-21 13:43:46,61407.19,Annual,Auto-Renew,,Infrastructure & Environment Setup,Active
CONT-000080,OPP-000604,ACC-000027,2021-11-10 00:00:00,2022-03-10 00:00:00,128797.15,Custom,Non-Renewed,Business Closure,Staff Augmentation,Inactive
CONT-000081,OPP-000616,ACC-000059,2022-03-05 00:00:00,2022-06-03 00:00:00,490893.2,Quarterly,Non-Renewed,Poor Service,Support & Maintenance,Inactive
CONT-000082,OPP-000622,ACC-000048,2024-10-21 13:43:46,2026-05-22 13:43:46,280477.39,Custom,Auto-Renew,,Managed Services,Active
CONT-000083,OPP-000624,ACC-000025,2023-01-04 00:00:00,2023-10-31 00:00:00,270348.35,Custom,Non-Renewed,Competitor,Managed Services,Inactive
CONT-000084,OPP-000625,ACC-000056,2024-12-30 13:43:46,2027-01-11 13:43:46,408374.81,Quarterly,Auto-Renew,,Support & Maintenance,Active
CONT-000085,OPP-000632,ACC-000028,2021-06-22 00:00:00,2022-06-22 00:00:00,346396.39,Annual,Non-Renewed,Merger/Acquisition,Managed Services,Inactive
CONT-000086,OPP-000634,ACC-000052,2022-03-19 00:00:00,2022-06-17 00:00:00,310024.67,Quarterly,Non-Renewed,Budget Constraints,Product Licensing,Inactive
CONT-000087,OPP-000638,ACC-000003,2022-07-08 00:00:00,2023-07-08 00:00:00,348820.87,Annual,Non-Renewed,Business Closure,Outcome-Based Contracts,Inactive
CONT-000088,OPP-000645,ACC-000036,2024-07-04 00:00:00,2024-10-02 00:00:00,308496.09,Quarterly,Non-Renewed,Product Issues,Infrastructure & Environment Setup,Inactive
CONT-000089,OPP-000669,ACC-000024,2024-12-13 13:43:46,2027-05-26 13:43:46,87332.26,Custom,Auto-Renew,,Product Licensing,Active
CONT-000090,OPP-000670,ACC-000013,2025-04-24 13:43:46,2027-06-10 13:43:46,33830.7,Custom,Renewed,,Staff Augmentation,Active
CONT-000091,OPP-000671,ACC-000004,2024-10-06 13:43:46,2027-06-10 13:43:46,295967.63,Quarterly,Renewed,,Outcome-Based Contracts,Active
CONT-000092,OPP-000672,ACC-000053,2024-10-09 13:43:46,2025-12-09 13:43:46,97559.58,Custom,Pending,,Managed Services,Active
CONT-000093,OPP-000677,ACC-000012,2024-08-25 13:43:46,2026-04-05 13:43:46,383059.32,Custom,Auto-Renew,,Support & Maintenance,Active
CONT-000094,OPP-000683,ACC-000045,2024-09-21 13:43:46,2026-11-02 13:43:46,302193.52,Custom,Renewed,,System Integration,Active
CONT-000095,OPP-000697,ACC-000016,2025-05-01 13:43:46,2025-12-24 13:43:46,398700.51,Quarterly,Auto-Renew,,System Integration,Active
CONT-000096,OPP-000699,ACC-000018,2024-08-06 13:43:46,2027-01-18 13:43:46,116156.39,Quarterly,Auto-Renew,,Development Projects,Active
CONT-000097,OPP-000708,ACC-000001,2022-12-16 00:00:00,2023-03-16 00:00:00,218351.43,Custom,Non-Renewed,Business Closure,Infrastructure & Environment Setup,Inactive
CONT-000098,OPP-000712,ACC-000029,2025-02-15 13:43:46,2026-09-08 13:43:46,181728.81,Annual,Renewed,,Professional Services,Active
CONT-000099,OPP-000716,ACC-000025,2024-12-03 13:43:46,2027-01-24 13:43:46,61809.66,Custom,Renewed,,Professional Services,Active
CONT-000100,OPP-000718,ACC-000038,2024-08-24 13:43:46,2025-12-13 13:43:46,175219.65,Quarterly,Renewed,,Managed Services,Active
CONT-000101,OPP-000722,ACC-000039,2022-01-19 00:00:00,2023-01-19 00:00:00,19797.76,Annual,Non-Renewed,Competitor,Outcome-Based Contracts,Inactive
CONT-000102,OPP-000723,ACC-000015,2024-11-22 00:00:00,2024-12-22 00:00:00,138384.38,Custom,Non-Renewed,Business Closure,Managed Services,Inactive
CONT-000103,OPP-000729,ACC-000023,2025-05-02 13:43:46,2026-08-21 13:43:46,409703.17,Custom,Pending,,Product Licensing,Active
CONT-000104,OPP-000737,ACC-000022,2022-12-07 00:00:00,2023-10-03 00:00:00,246397.18,Custom,Non-Renewed,Merger/Acquisition,Support & Maintenance,Inactive
CONT-000105,OPP-000746,ACC-000023,2024-07-05 00:00:00,2025-07-05 00:00:00,318732.88,Annual,Renewed,,Staff Augmentation,Active
CONT-000106,OPP-000748,ACC-000038,2024-11-21 13:43:46,2026-11-18 13:43:46,138823.53,Annual,Auto-Renew,,Data & Analytics Services,Active
CONT-000107,OPP-000751,ACC-000036,2025-04-01 13:43:46,2026-06-25 13:43:46,341291.6,Quarterly,Auto-Renew,,Managed Services,Active
CONT-000108,OPP-000752,ACC-000016,2023-05-01 00:00:00,2024-04-30 00:00:00,261959.8,Annual,Non-Renewed,Business Closure,Development Projects,Inactive
CONT-000109,OPP-000771,ACC-000013,2025-04-01 13:43:46,2026-01-01 13:43:46,51309.26,Annual,Pending,,Infrastructure & Environment Setup,Active
CONT-000110,OPP-000773,ACC-000053,2025-05-29 13:43:46,2026-12-03 13:43:46,277102.86,Annual,Renewed,,Support & Maintenance,Active
CONT-000111,OPP-000774,ACC-000044,2021-01-02 00:00:00,2021-04-02 00:00:00,396468.34,Custom,Non-Renewed,Competitor,Data & Analytics Services,Inactive
CONT-000112,OPP-000778,ACC-000045,2022-07-15 00:00:00,2022-10-13 00:00:00,301433.13,Quarterly,Non-Renewed,Competitor,Product Licensing,Inactive
CONT-000113,OPP-000783,ACC-000058,2024-08-29 13:43:46,2025-10-27 13:43:46,419480.93,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000114,OPP-000785,ACC-000058,2024-10-20 13:43:46,2027-01-02 13:43:46,25118.2,Quarterly,Pending,,Data & Analytics Services,Active
CONT-000115,OPP-000789,ACC-000055,2025-06-21 13:43:46,2027-03-03 13:43:46,88679.15,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000116,OPP-000803,ACC-000036,2024-09-02 13:43:46,2025-11-19 13:43:46,143118.18,Custom,Renewed,,Staff Augmentation,Active
CONT-000117,OPP-000822,ACC-000043,2023-05-02 00:00:00,2023-07-31 00:00:00,40094.41,Quarterly,Non-Renewed,Merger/Acquisition,System Integration,Inactive
CONT-000118,OPP-000837,ACC-000005,2021-08-24 00:00:00,2022-08-24 00:00:00,16438.95,Annual,Non-Renewed,Product Issues,Staff Augmentation,Inactive
CONT-000119,OPP-000842,ACC-000002,2024-10-29 13:43:46,2026-04-05 13:43:46,457657.99,Quarterly,Auto-Renew,,Support & Maintenance,Active
CONT-000120,OPP-000843,ACC-000052,2024-09-27 00:00:00,2025-09-27 00:00:00,135690.54,Annual,Pending,,Managed Services,Active
CONT-000121,OPP-000845,ACC-000028,2021-07-06 00:00:00,2022-04-02 00:00:00,257926.69,Custom,Non-Renewed,Budget Constraints,Support & Maintenance,Inactive
CONT-000122,OPP-000864,ACC-000028,2021-05-26 00:00:00,2021-08-24 00:00:00,184836.87,Quarterly,Non-Renewed,Budget Constraints,Support & Maintenance,Inactive
CONT-000123,OPP-000877,ACC-000062,2021-06-04 00:00:00,2022-06-04 00:00:00,440422.82,Annual,Non-Renewed,Poor Service,System Integration,Inactive
CONT-000124,OPP-000879,ACC-000003,2022-02-13 00:00:00,2022-05-14 00:00:00,396974.82,Quarterly,Non-Renewed,Budget Constraints,Development Projects,Inactive
CONT-000125,OPP-000884,ACC-000045,2022-04-03 00:00:00,2022-07-02 00:00:00,86671.76,Quarterly,Non-Renewed,Business Closure,Data & Analytics Services,Inactive
CONT-000126,OPP-000886,ACC-000017,2024-09-18 00:00:00,2025-09-18 00:00:00,288102.73,Annual,Pending,,Managed Services,Active
CONT-000127,OPP-000887,ACC-000029,2025-04-03 13:43:46,2025-07-30 13:43:46,204262.72,Quarterly,Renewed,,Support & Maintenance,Active
CONT-000128,OPP-000888,ACC-000043,2025-03-05 13:43:46,2025-09-30 13:43:46,43649.26,Annual,Renewed,,Data & Analytics Services,Active
CONT-000129,OPP-000893,ACC-000032,2025-02-06 13:43:46,2026-05-17 13:43:46,200781.68,Quarterly,Renewed,,Support & Maintenance,Active
CONT-000130,OPP-000897,ACC-000029,2024-08-22 13:43:46,2025-08-15 13:43:46,66858.24,Quarterly,Renewed,,Data & Analytics Services,Active
CONT-000131,OPP-000902,ACC-000057,2023-03-23 00:00:00,2023-06-21 00:00:00,475897.88,Quarterly,Non-Renewed,Product Issues,Support & Maintenance,Inactive
CONT-000132,OPP-000924,ACC-000025,2021-07-11 00:00:00,2021-10-09 00:00:00,378988.39,Quarterly,Non-Renewed,Budget Constraints,Infrastructure & Environment Setup,Inactive
CONT-000133,OPP-000926,ACC-000006,2025-01-24 13:43:46,2026-05-07 13:43:46,75682.25,Custom,Pending,,Professional Services,Active
CONT-000134,OPP-000930,ACC-000031,2021-02-26 00:00:00,2021-07-26 00:00:00,341568.29,Custom,Non-Renewed,Business Closure,Staff Augmentation,Inactive
CONT-000135,OPP-000931,ACC-000031,2024-12-31 13:43:46,2026-07-12 13:43:46,468594.85,Quarterly,Pending,,Data & Analytics Services,Active
CONT-000136,OPP-000933,ACC-000010,2024-11-25 13:43:46,2025-09-06 13:43:46,199694.29,Annual,Pending,,Development Projects,Active
CONT-000137,OPP-000936,ACC-000014,2024-10-04 13:43:46,2027-04-21 13:43:46,142723.97,Annual,Auto-Renew,,Development Projects,Active
CONT-000138,OPP-000958,ACC-000036,2022-08-28 00:00:00,2022-11-26 00:00:00,182208.15,Quarterly,Non-Renewed,Business Closure,Support & Maintenance,Inactive
CONT-000139,OPP-000968,ACC-000049,2021-02-19 00:00:00,2021-10-17 00:00:00,255781.87,Custom,Non-Renewed,Business Closure,Data & Analytics Services,Inactive
CONT-000140,OPP-000979,ACC-000008,2022-05-10 00:00:00,2023-02-04 00:00:00,316841.86,Custom,Non-Renewed,Product Issues,System Integration,Inactive
CONT-000141,OPP-000981,ACC-000032,2022-03-16 00:00:00,2023-03-16 00:00:00,205703.73,Annual,Non-Renewed,Business Closure,Managed Services,Inactive
CONT-000142,OPP-000985,ACC-000028,2025-04-28 13:43:46,2027-04-09 13:43:46,285010.54,Custom,Auto-Renew,,Support & Maintenance,Active
CONT-000143,OPP-000996,ACC-000056,2024-08-29 13:43:46,2027-03-18 13:43:46,438814.26,Custom,Renewed,,Data & Analytics Services,Active
CONT-000144,OPP-000997,ACC-000032,2025-01-27 13:43:46,2026-08-19 13:43:46,86050.3,Custom,Pending,,Data & Analytics Services,Active
CONT-000145,OPP-001000,ACC-000022,2021-03-12 00:00:00,2021-06-10 00:00:00,171642.46,Quarterly,Non-Renewed,Budget Constraints,Managed Services,Inactive
CONT-000146,OPP-001021,ACC-000061,2025-02-07 13:43:46,2026-06-07 13:43:46,396465.12,Custom,Pending,,Managed Services,Active
CONT-000147,OPP-001022,ACC-000006,2022-05-06 00:00:00,2022-08-04 00:00:00,383132.58,Quarterly,Non-Renewed,Business Closure,Staff Augmentation,Inactive
CONT-000148,OPP-001041,ACC-000010,2022-10-20 00:00:00,2023-01-18 00:00:00,408169.33,Quarterly,Non-Renewed,Product Issues,Managed Services,Inactive
CONT-000149,OPP-001048,ACC-000016,2022-09-17 00:00:00,2022-12-16 00:00:00,245315.32,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000150,OPP-001055,ACC-000016,2024-07-07 13:43:46,2026-07-29 13:43:46,279271.57,Annual,Pending,,Managed Services,Active
CONT-000151,OPP-001063,ACC-000054,2024-09-17 13:43:46,2026-02-10 13:43:46,486971.44,Annual,Auto-Renew,,Support & Maintenance,Active
CONT-000152,OPP-001065,ACC-000032,2023-07-10 00:00:00,2023-10-08 00:00:00,96771.83,Quarterly,Non-Renewed,Poor Service,Data & Analytics Services,Inactive
CONT-000153,OPP-001069,ACC-000006,2024-09-10 13:43:46,2026-01-27 13:43:46,110400.04,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000154,OPP-001071,ACC-000055,2022-05-15 00:00:00,2023-01-10 00:00:00,331326.23,Custom,Non-Renewed,Merger/Acquisition,Staff Augmentation,Inactive
CONT-000155,OPP-001089,ACC-000046,2024-09-22 13:43:46,2025-11-12 13:43:46,414430.24,Custom,Auto-Renew,,System Integration,Active
CONT-000156,OPP-001110,ACC-000040,2024-08-07 13:43:46,2026-11-21 13:43:46,266933.52,Annual,Renewed,,System Integration,Active
CONT-000157,OPP-001115,ACC-000060,2024-07-18 13:43:46,2026-08-19 13:43:46,54577.84,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000158,OPP-001128,ACC-000045,2024-02-19 00:00:00,2025-02-18 00:00:00,393575.43,Annual,Non-Renewed,Business Closure,Managed Services,Inactive
CONT-000159,OPP-001132,ACC-000006,2024-07-24 13:43:46,2026-07-19 13:43:46,322274.29,Quarterly,Renewed,,Product Licensing,Active
CONT-000160,OPP-001136,ACC-000014,2024-08-30 13:43:46,2026-10-30 13:43:46,246994.47,Annual,Renewed,,Infrastructure & Environment Setup,Active
CONT-000161,OPP-001151,ACC-000026,2024-08-11 13:43:46,2027-06-24 13:43:46,471165.12,Annual,Auto-Renew,,Outcome-Based Contracts,Active
CONT-000162,OPP-001157,ACC-000039,2023-12-11 00:00:00,2024-12-10 00:00:00,349234.35,Annual,Non-Renewed,Poor Service,Product Licensing,Inactive
CONT-000163,OPP-001164,ACC-000040,2021-05-12 00:00:00,2022-05-12 00:00:00,418447.6,Annual,Non-Renewed,Competitor,Infrastructure & Environment Setup,Inactive
CONT-000164,OPP-001169,ACC-000007,2024-12-08 13:43:46,2026-01-12 13:43:46,16856.41,Quarterly,Renewed,,Development Projects,Active
CONT-000165,OPP-001173,ACC-000032,2024-08-15 13:43:46,2026-03-31 13:43:46,295839.85,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000166,OPP-001176,ACC-000011,2024-07-16 13:43:46,2026-02-05 13:43:46,64293.82,Annual,Renewed,,Support & Maintenance,Active
CONT-000167,OPP-001189,ACC-000026,2025-02-06 13:43:46,2026-01-30 13:43:46,98070.74,Annual,Renewed,,System Integration,Active
CONT-000168,OPP-001190,ACC-000053,2024-07-13 00:00:00,2024-10-11 00:00:00,222628.66,Quarterly,Non-Renewed,Competitor,Support & Maintenance,Inactive
CONT-000169,OPP-001199,ACC-000060,2024-07-30 13:43:46,2026-01-16 13:43:46,81541.49,Quarterly,Renewed,,Professional Services,Active
CONT-000170,OPP-001205,ACC-000017,2023-07-08 00:00:00,2024-07-07 00:00:00,462776.21,Annual,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000171,OPP-001208,ACC-000005,2025-06-04 13:43:46,2025-10-26 13:43:46,296412.21,Annual,Pending,,Outcome-Based Contracts,Active
CONT-000172,OPP-001229,ACC-000046,2025-04-28 13:43:46,2027-04-27 13:43:46,455081.36,Custom,Auto-Renew,,Infrastructure & Environment Setup,Active
CONT-000173,OPP-001231,ACC-000016,2024-09-27 00:00:00,2024-11-26 00:00:00,185716.38,Custom,Non-Renewed,Product Issues,Product Licensing,Inactive
CONT-000174,OPP-001233,ACC-000036,2024-07-24 13:43:46,2026-04-26 13:43:46,451688.91,Custom,Pending,,Development Projects,Active
CONT-000175,OPP-001237,ACC-000017,2024-10-31 13:43:46,2026-04-09 13:43:46,23381.15,Annual,Renewed,,Product Licensing,Active
