Activity_ID,Account_ID,Activity_Date,Activity_Type,Activity_Channel,Activity_Outcome,Activity_Score
ENG-000080,ACC-000037,2022-03-16 21:56:01,Webinar,Marketing,Neutral,10
ENG-000081,ACC-000035,2024-08-09 21:27:28,Email,Sales,Negative,5
ENG-000082,ACC-000019,2024-11-14 12:33:51,Webinar,Marketing,Negative,2
ENG-000083,ACC-000009,2022-12-27 15:48:29,In-Person,Support,Neutral,3
ENG-000084,ACC-000045,2022-03-18 12:24:43,Email,Support,Positive,6
ENG-000085,ACC-000054,2022-01-31 23:45:39,Email,Marketing,Neutral,8
ENG-000086,ACC-000010,2024-07-21 12:57:49,Webinar,Marketing,Neutral,7
ENG-000087,ACC-000029,2023-10-25 14:27:10,Call,Marketing,Positive,7
ENG-000088,ACC-000033,2023-07-27 03:28:51,Webinar,Marketing,Neutral,8
ENG-000089,ACC-000061,2022-04-10 11:31:37,In-Person,Sales,Negative,1
ENG-000090,ACC-000056,2025-05-22 22:12:56,Call,Marketing,Neutral,6
ENG-000091,ACC-000055,2025-04-10 03:38:30,Call,Marketing,Neutral,4
ENG-000092,ACC-000062,2023-10-18 18:03:20,In-Person,Support,Neutral,5
ENG-000093,ACC-000021,2024-03-21 14:07:11,Webinar,Sales,Negative,10
ENG-000094,ACC-000009,2021-09-27 19:25:06,In-Person,Sales,Negative,1
ENG-000095,ACC-000003,2023-09-20 11:47:33,Call,Marketing,Neutral,1
ENG-000096,ACC-000008,2021-08-20 02:46:11,Email,Sales,Neutral,1
ENG-000097,ACC-000062,2025-01-22 00:28:10,In-Person,Support,Negative,3
ENG-000098,ACC-000057,2025-02-02 20:53:43,Webinar,Support,Neutral,2
ENG-000099,ACC-000042,2021-10-22 00:58:02,Webinar,Sales,Positive,6
ENG-000100,ACC-000043,2024-12-20 06:49:36,Email,Support,Neutral,5
ENG-000101,ACC-000047,2024-05-01 14:36:36,Email,Sales,Negative,2
ENG-000102,ACC-000046,2021-09-11 22:28:35,Call,Support,Positive,8
ENG-000103,ACC-000005,2024-09-27 22:20:47,Email,Marketing,Positive,9
ENG-000104,ACC-000044,2021-07-08 11:44:06,In-Person,Support,Positive,6
ENG-000105,ACC-000053,2023-03-31 04:49:31,Call,Sales,Negative,3
ENG-000106,ACC-000031,2022-01-28 03:47:04,Call,Support,Neutral,2
ENG-000107,ACC-000047,2025-01-27 10:04:21,Call,Support,Neutral,6
ENG-000108,ACC-000057,2024-03-04 07:59:26,Webinar,Support,Neutral,3
ENG-000109,ACC-000042,2022-06-23 02:11:28,Email,Support,Negative,10
ENG-000110,ACC-000001,2021-10-12 03:45:26,Email,Sales,Neutral,4
ENG-000111,ACC-000041,2024-07-01 02:55:16,Email,Sales,Negative,8
ENG-000112,ACC-000056,2022-02-18 04:31:20,Email,Support,Positive,3
ENG-000113,ACC-000049,2021-07-12 18:32:50,Call,Marketing,Negative,7
ENG-000114,ACC-000023,2022-06-03 08:11:21,In-Person,Sales,Positive,4
ENG-000115,ACC-000018,2023-08-23 04:49:07,Call,Support,Negative,10
ENG-000116,ACC-000039,2023-06-06 23:00:04,Webinar,Marketing,Positive,5
ENG-000117,ACC-000014,2023-01-29 07:39:33,Email,Marketing,Neutral,5
ENG-000118,ACC-000042,2021-09-30 11:28:21,Call,Support,Neutral,7
ENG-000119,ACC-000008,2024-02-13 08:17:45,Email,Sales,Negative,10
ENG-000120,ACC-000005,2024-03-15 05:58:26,Call,Sales,Neutral,3
ENG-000121,ACC-000025,2024-04-29 08:08:48,In-Person,Sales,Negative,3
ENG-000122,ACC-000049,2025-06-18 08:10:59,In-Person,Support,Positive,10
ENG-000123,ACC-000005,2024-02-11 07:14:11,Call,Sales,Positive,1
ENG-000124,ACC-000060,2025-05-16 11:34:10,Call,Sales,Negative,5
ENG-000125,ACC-000041,2023-07-19 04:53:07,In-Person,Sales,Negative,7
ENG-000126,ACC-000006,2024-04-17 17:37:50,Email,Sales,Positive,5
ENG-000127,ACC-000006,2023-07-26 10:15:31,Email,Support,Negative,6
ENG-000128,ACC-000026,2021-07-23 00:15:06,Call,Sales,Negative,7
ENG-000129,ACC-000047,2021-07-08 20:15:19,Email,Support,Positive,2
ENG-000130,ACC-000060,2023-10-03 08:02:54,In-Person,Support,Neutral,10
ENG-000131,ACC-000039,2023-11-02 12:29:29,Call,Sales,Negative,3
ENG-000132,ACC-000008,2023-03-29 13:32:24,Call,Marketing,Positive,1
ENG-000133,ACC-000011,2021-07-16 23:33:54,In-Person,Sales,Negative,9
ENG-000134,ACC-000051,2021-07-24 13:19:29,Webinar,Support,Neutral,3
ENG-000135,ACC-000048,2023-09-28 23:50:57,Webinar,Marketing,Positive,1
ENG-000136,ACC-000022,2024-07-24 11:01:30,In-Person,Sales,Negative,2
ENG-000137,ACC-000017,2022-08-29 08:48:21,Call,Sales,Neutral,9
ENG-000138,ACC-000024,2023-10-08 19:29:34,Call,Sales,Negative,3
ENG-000139,ACC-000024,2022-09-16 22:15:08,Email,Sales,Positive,10
ENG-000140,ACC-000044,2021-07-25 04:51:04,Call,Support,Negative,9
ENG-000141,ACC-000001,2023-08-17 17:41:58,Call,Support,Positive,1
ENG-000142,ACC-000031,2024-12-12 18:25:38,Webinar,Sales,Positive,3
ENG-000143,ACC-000060,2024-06-16 15:48:03,Call,Marketing,Negative,7
ENG-000144,ACC-000015,2024-05-10 15:29:55,Webinar,Support,Neutral,6
ENG-000145,ACC-000018,2023-04-28 10:39:41,Call,Marketing,Neutral,2
ENG-000146,ACC-000033,2024-12-01 21:50:20,Call,Support,Positive,9
ENG-000147,ACC-000003,2025-06-27 08:43:41,In-Person,Support,Neutral,5
ENG-000148,ACC-000050,2025-05-11 20:32:18,Webinar,Sales,Positive,9
ENG-000149,ACC-000030,2022-04-03 01:16:52,Call,Sales,Positive,5
ENG-000150,ACC-000037,2021-12-11 19:35:25,Webinar,Marketing,Negative,4
ENG-000151,ACC-000030,2025-05-24 17:04:14,Webinar,Marketing,Neutral,4
ENG-000152,ACC-000047,2021-11-25 04:34:15,Email,Support,Positive,7
ENG-000153,ACC-000002,2023-09-21 04:14:01,Email,Marketing,Neutral,1
ENG-000154,ACC-000061,2022-02-14 21:01:46,Webinar,Support,Negative,7
ENG-000155,ACC-000055,2022-07-07 21:41:53,Webinar,Support,Positive,9
ENG-000156,ACC-000016,2022-04-22 17:28:28,In-Person,Sales,Positive,3
ENG-000157,ACC-000046,2024-02-16 08:50:00,Webinar,Support,Positive,4
ENG-000158,ACC-000058,2023-09-24 09:25:50,In-Person,Marketing,Neutral,8
ENG-000159,ACC-000048,2022-07-25 16:33:40,Call,Marketing,Positive,9
ENG-000160,ACC-000009,2024-12-15 23:07:27,In-Person,Support,Negative,10
ENG-000161,ACC-000004,2022-12-31 04:15:03,In-Person,Marketing,Positive,4
ENG-000162,ACC-000019,2022-08-17 20:19:02,Webinar,Sales,Neutral,6
ENG-000163,ACC-000021,2024-11-14 11:06:12,In-Person,Sales,Positive,2
ENG-000164,ACC-000061,2023-03-07 03:06:00,Email,Support,Negative,2
ENG-000165,ACC-000010,2021-10-29 07:46:47,Call,Support,Neutral,8
ENG-000166,ACC-000021,2023-01-29 02:05:59,In-Person,Support,Negative,6
ENG-000167,ACC-000062,2023-03-21 07:31:40,Email,Sales,Neutral,8
ENG-000168,ACC-000017,2023-06-11 14:24:18,Call,Support,Positive,5
ENG-000169,ACC-000053,2023-11-23 06:32:13,Call,Support,Neutral,3
ENG-000170,ACC-000006,2022-07-11 09:10:34,Email,Sales,Neutral,9
ENG-000171,ACC-000004,2024-06-15 16:34:58,Webinar,Sales,Positive,1
ENG-000172,ACC-000061,2022-06-14 10:17:51,In-Person,Sales,Negative,9
ENG-000173,ACC-000016,2022-10-07 13:35:38,Call,Sales,Positive,3
ENG-000174,ACC-000008,2024-05-26 04:38:56,Call,Support,Positive,3
ENG-000175,ACC-000013,2025-01-04 22:07:14,In-Person,Sales,Negative,2
ENG-000176,ACC-000038,2025-02-04 16:30:20,Webinar,Support,Positive,2
ENG-000177,ACC-000013,2021-10-31 19:20:43,In-Person,Support,Positive,6
ENG-000178,ACC-000008,2024-04-09 02:45:46,Call,Sales,Positive,3
ENG-000179,ACC-000060,2025-02-20 18:27:29,In-Person,Marketing,Neutral,8
ENG-000180,ACC-000002,2024-04-03 03:33:00,In-Person,Marketing,Neutral,3
ENG-000181,ACC-000023,2024-09-20 13:08:31,Email,Support,Neutral,5
ENG-000182,ACC-000029,2021-08-16 19:00:46,Email,Support,Negative,10
ENG-000183,ACC-000040,2021-11-20 19:40:49,Email,Marketing,Neutral,8
ENG-000184,ACC-000027,2023-03-20 03:35:56,In-Person,Support,Positive,5
ENG-000185,ACC-000025,2023-02-07 17:42:59,Email,Sales,Positive,9
ENG-000186,ACC-000016,2023-02-04 11:37:46,Call,Sales,Negative,6
ENG-000187,ACC-000031,2023-11-04 03:55:55,In-Person,Sales,Negative,9
ENG-000188,ACC-000021,2023-07-08 00:29:07,In-Person,Sales,Positive,1
ENG-000189,ACC-000021,2021-09-23 17:50:43,Email,Support,Neutral,1
ENG-000190,ACC-000052,2024-03-13 17:25:04,In-Person,Marketing,Neutral,10
ENG-000191,ACC-000015,2021-07-13 06:03:24,Email,Support,Positive,4
ENG-000192,ACC-000018,2024-06-24 09:41:43,Call,Support,Negative,7
ENG-000193,ACC-000023,2022-03-21 19:22:18,Email,Support,Positive,10
ENG-000194,ACC-000021,2021-11-04 00:29:27,Webinar,Marketing,Positive,6
ENG-000195,ACC-000061,2023-08-14 01:48:01,Email,Marketing,Positive,8
ENG-000196,ACC-000035,2025-01-31 17:54:28,Webinar,Support,Neutral,1
ENG-000197,ACC-000006,2023-05-03 15:03:11,Call,Support,Negative,4
ENG-000198,ACC-000002,2024-03-26 09:36:48,In-Person,Support,Neutral,10
ENG-000199,ACC-000013,2024-10-29 01:23:50,Email,Sales,Negative,3
ENG-000200,ACC-000059,2022-11-25 04:23:33,Webinar,Support,Positive,3
ENG-000201,ACC-000038,2023-11-24 14:23:34,Email,Support,Negative,6
ENG-000202,ACC-000062,2025-02-20 08:48:27,Call,Sales,Negative,7
ENG-000203,ACC-000038,2021-11-23 17:04:32,Call,Sales,Neutral,6
ENG-000204,ACC-000009,2025-04-18 13:57:47,Email,Marketing,Neutral,8
ENG-000205,ACC-000042,2023-09-27 00:55:49,Webinar,Support,Negative,9
ENG-000206,ACC-000045,2025-05-26 10:12:26,Webinar,Support,Negative,10
ENG-000207,ACC-000053,2021-09-02 16:10:24,Email,Sales,Neutral,5
ENG-000208,ACC-000009,2022-06-20 12:02:41,Email,Marketing,Positive,10
ENG-000209,ACC-000026,2022-05-22 23:55:40,Call,Support,Negative,6
ENG-000210,ACC-000059,2025-04-28 15:37:12,Email,Marketing,Negative,2
ENG-000211,ACC-000060,2025-03-08 03:28:20,In-Person,Support,Neutral,2
ENG-000212,ACC-000016,2024-06-08 00:05:07,Webinar,Sales,Positive,2
ENG-000213,ACC-000053,2025-04-07 08:09:06,Webinar,Sales,Positive,5
ENG-000214,ACC-000014,2023-11-26 00:58:24,Email,Marketing,Positive,6
ENG-000215,ACC-000017,2023-07-07 05:39:52,Call,Marketing,Positive,1
ENG-000216,ACC-000025,2022-08-23 16:53:06,In-Person,Marketing,Neutral,3
ENG-000217,ACC-000057,2021-09-08 21:41:05,In-Person,Sales,Neutral,6
ENG-000218,ACC-000035,2025-06-03 04:53:01,In-Person,Support,Neutral,10
ENG-000219,ACC-000042,2021-10-22 01:37:31,Email,Support,Neutral,2
ENG-000220,ACC-000052,2024-05-26 19:04:54,Call,Sales,Positive,6
ENG-000221,ACC-000017,2025-06-05 10:01:54,Call,Support,Neutral,3
ENG-000222,ACC-000057,2022-09-07 02:47:32,In-Person,Support,Negative,2
ENG-000223,ACC-000036,2025-04-25 14:29:50,Call,Sales,Negative,10
ENG-000224,ACC-000058,2023-10-20 03:22:50,In-Person,Marketing,Positive,7
ENG-000225,ACC-000061,2023-11-20 22:53:57,Email,Marketing,Neutral,3
ENG-000226,ACC-000004,2024-04-15 21:49:11,Call,Sales,Positive,4
ENG-000227,ACC-000027,2021-08-18 16:23:46,Webinar,Marketing,Neutral,5
ENG-000228,ACC-000016,2022-04-03 04:32:57,Call,Support,Neutral,10
ENG-000229,ACC-000036,2025-06-10 08:38:54,In-Person,Support,Positive,6
ENG-000230,ACC-000001,2025-02-08 15:58:04,In-Person,Support,Neutral,10
ENG-000231,ACC-000031,2022-10-30 02:34:05,Email,Support,Positive,4
ENG-000232,ACC-000011,2021-07-22 21:30:17,Webinar,Support,Neutral,2
ENG-000233,ACC-000020,2022-05-16 09:08:35,In-Person,Sales,Neutral,5
ENG-000234,ACC-000006,2023-12-27 12:01:16,In-Person,Support,Neutral,7
ENG-000235,ACC-000024,2022-02-07 13:34:47,Email,Sales,Positive,5
ENG-000236,ACC-000029,2024-09-09 03:48:29,In-Person,Sales,Positive,5
ENG-000237,ACC-000037,2024-12-24 11:17:50,Call,Support,Negative,2
ENG-000238,ACC-000006,2024-07-09 17:32:08,Webinar,Marketing,Neutral,10
ENG-000239,ACC-000015,2024-12-24 19:11:17,Call,Sales,Negative,7
ENG-000240,ACC-000062,2023-03-09 07:16:50,In-Person,Marketing,Positive,8
ENG-000241,ACC-000020,2025-06-10 12:41:48,Call,Sales,Negative,1
ENG-000242,ACC-000033,2021-10-26 02:09:59,Email,Support,Neutral,3
ENG-000243,ACC-000061,2022-10-06 11:34:48,Email,Support,Positive,3
ENG-000244,ACC-000003,2022-03-07 22:18:47,In-Person,Support,Negative,7
ENG-000245,ACC-000013,2023-11-21 15:36:52,Email,Marketing,Neutral,6
ENG-000246,ACC-000059,2022-07-07 03:10:55,Call,Support,Neutral,9
ENG-000247,ACC-000026,2023-11-25 21:41:02,Webinar,Sales,Negative,8
ENG-000248,ACC-000059,2025-01-15 03:45:25,Call,Marketing,Negative,10
ENG-000249,ACC-000034,2025-02-07 03:14:16,In-Person,Support,Neutral,3
ENG-000250,ACC-000010,2023-02-23 02:32:19,Call,Support,Negative,2
ENG-000251,ACC-000051,2024-05-15 07:25:18,Webinar,Marketing,Neutral,7
ENG-000252,ACC-000017,2025-04-21 06:37:55,In-Person,Marketing,Neutral,10
ENG-000253,ACC-000039,2023-10-16 07:21:25,In-Person,Support,Positive,5
ENG-000254,ACC-000026,2022-11-25 21:30:49,Email,Marketing,Negative,7
ENG-000255,ACC-000003,2023-02-14 20:33:10,In-Person,Sales,Negative,4
ENG-000256,ACC-000004,2024-09-14 08:53:02,In-Person,Sales,Neutral,1
ENG-000257,ACC-000022,2024-08-20 17:25:40,Webinar,Sales,Neutral,8
ENG-000258,ACC-000055,2022-01-31 23:27:54,Call,Support,Positive,5
ENG-000259,ACC-000048,2024-11-07 13:38:00,In-Person,Sales,Neutral,7
ENG-000260,ACC-000039,2024-06-03 09:05:18,Call,Support,Neutral,4
ENG-000261,ACC-000059,2024-07-27 12:30:13,In-Person,Marketing,Neutral,9
ENG-000262,ACC-000056,2021-10-28 09:43:30,Webinar,Support,Negative,3
ENG-000263,ACC-000005,2023-08-15 12:38:22,Webinar,Marketing,Negative,7
ENG-000264,ACC-000009,2024-08-29 14:21:49,Call,Support,Positive,4
ENG-000265,ACC-000054,2022-12-17 20:18:20,Call,Support,Positive,8
ENG-000266,ACC-000004,2021-09-19 23:40:37,Webinar,Marketing,Positive,5
ENG-000267,ACC-000024,2021-11-27 07:43:08,In-Person,Marketing,Neutral,2
ENG-000268,ACC-000044,2023-05-08 13:33:36,Call,Support,Neutral,8
ENG-000269,ACC-000039,2022-06-24 04:41:04,In-Person,Support,Neutral,10
ENG-000270,ACC-000036,2025-01-21 09:47:11,Webinar,Sales,Positive,5
ENG-000271,ACC-000048,2021-10-24 15:53:40,Call,Sales,Positive,7
ENG-000272,ACC-000004,2022-12-09 15:56:48,Email,Marketing,Positive,4
ENG-000273,ACC-000042,2024-01-24 16:03:17,Email,Marketing,Positive,5
ENG-000274,ACC-000042,2024-10-05 04:20:15,In-Person,Marketing,Positive,1
ENG-000275,ACC-000031,2024-02-07 04:17:00,Email,Marketing,Positive,10
ENG-000276,ACC-000052,2024-01-09 19:37:45,Call,Support,Neutral,10
ENG-000277,ACC-000052,2023-03-06 19:53:25,Webinar,Marketing,Negative,5
ENG-000278,ACC-000028,2024-10-12 05:56:47,In-Person,Sales,Neutral,5
ENG-000279,ACC-000014,2022-11-17 13:55:56,In-Person,Sales,Negative,9
ENG-000280,ACC-000053,2021-08-13 14:15:12,In-Person,Marketing,Positive,1
ENG-000281,ACC-000033,2024-03-09 15:32:45,Webinar,Marketing,Negative,10
ENG-000282,ACC-000039,2022-08-27 04:05:56,Webinar,Sales,Negative,2
ENG-000283,ACC-000031,2024-10-27 18:31:14,Call,Sales,Neutral,6
ENG-000284,ACC-000056,2023-05-29 11:27:27,Webinar,Sales,Negative,5
ENG-000285,ACC-000013,2023-07-30 16:45:05,Email,Marketing,Positive,1
ENG-000286,ACC-000052,2022-06-17 23:20:40,In-Person,Marketing,Neutral,3
ENG-000287,ACC-000047,2023-01-02 07:19:54,Call,Marketing,Neutral,5
ENG-000288,ACC-000017,2023-11-04 16:28:10,In-Person,Sales,Neutral,1
ENG-000289,ACC-000038,2023-02-01 18:39:42,Email,Sales,Negative,4
ENG-000290,ACC-000044,2023-04-30 10:11:14,In-Person,Marketing,Neutral,9
ENG-000291,ACC-000020,2022-04-13 02:32:15,Email,Marketing,Negative,3
ENG-000292,ACC-000019,2024-05-19 10:35:23,Call,Sales,Positive,5
ENG-000293,ACC-000047,2023-12-25 16:44:11,Email,Marketing,Neutral,2
ENG-000294,ACC-000015,2024-04-19 21:21:46,Webinar,Support,Negative,5
ENG-000295,ACC-000027,2023-02-08 23:52:00,Webinar,Sales,Neutral,10
ENG-000296,ACC-000019,2021-11-08 16:38:13,In-Person,Support,Neutral,1
ENG-000297,ACC-000056,2024-10-10 02:12:58,Call,Sales,Positive,9
ENG-000298,ACC-000008,2024-02-14 13:24:03,In-Person,Marketing,Neutral,7
ENG-000299,ACC-000004,2022-09-30 10:16:26,Email,Support,Positive,6
ENG-000300,ACC-000027,2024-11-19 07:22:56,In-Person,Support,Neutral,3
ENG-000301,ACC-000050,2022-07-16 10:02:33,Call,Sales,Neutral,3
ENG-000302,ACC-000021,2024-07-10 08:20:31,Call,Support,Neutral,5
ENG-000303,ACC-000014,2021-10-20 18:15:24,Email,Marketing,Positive,8
ENG-000304,ACC-000051,2021-11-03 00:19:39,Call,Support,Negative,7
ENG-000305,ACC-000041,2022-08-18 20:27:01,In-Person,Sales,Neutral,8
ENG-000306,ACC-000025,2022-02-23 03:30:11,Call,Support,Negative,4
ENG-000307,ACC-000047,2023-02-08 21:09:19,Webinar,Support,Neutral,9
ENG-000308,ACC-000013,2024-07-08 02:58:34,Call,Marketing,Positive,4
ENG-000309,ACC-000015,2024-10-28 07:16:36,Webinar,Sales,Positive,2
ENG-000310,ACC-000025,2024-03-09 07:16:00,Webinar,Support,Positive,1
ENG-000311,ACC-000020,2022-02-23 05:35:17,Webinar,Sales,Negative,9
ENG-000312,ACC-000039,2024-08-20 14:04:36,Webinar,Sales,Negative,3
ENG-000313,ACC-000022,2023-02-23 19:53:20,In-Person,Sales,Positive,3
ENG-000314,ACC-000061,2022-11-02 12:20:56,In-Person,Support,Positive,4
ENG-000315,ACC-000047,2023-01-09 21:36:29,Email,Support,Negative,1
ENG-000316,ACC-000038,2021-12-11 02:14:06,Email,Support,Neutral,1
ENG-000317,ACC-000025,2021-11-17 17:51:28,Webinar,Marketing,Negative,1
ENG-000318,ACC-000039,2021-07-06 15:25:14,Call,Marketing,Positive,1
ENG-000319,ACC-000004,2022-10-20 10:46:21,Call,Sales,Neutral,7
ENG-000320,ACC-000008,2023-05-20 10:41:01,Webinar,Sales,Negative,3
ENG-000321,ACC-000014,2023-01-08 16:25:32,Call,Sales,Neutral,2
ENG-000322,ACC-000043,2024-09-23 06:47:00,Webinar,Marketing,Negative,3
ENG-000323,ACC-000027,2022-08-21 15:21:03,Call,Marketing,Negative,10
ENG-000324,ACC-000008,2021-12-04 09:11:32,Webinar,Support,Positive,8
ENG-000325,ACC-000013,2022-01-20 09:56:53,Email,Sales,Negative,4
ENG-000326,ACC-000023,2021-11-11 04:24:20,In-Person,Sales,Positive,1
ENG-000327,ACC-000036,2022-04-15 16:12:03,In-Person,Support,Negative,8
ENG-000328,ACC-000022,2023-04-29 01:48:35,Email,Support,Positive,2
ENG-000329,ACC-000059,2023-05-26 19:50:02,Call,Marketing,Negative,8
ENG-000330,ACC-000010,2023-11-10 19:38:09,Call,Marketing,Positive,2
ENG-000331,ACC-000058,2023-11-07 07:56:06,Webinar,Marketing,Positive,8
ENG-000332,ACC-000019,2023-09-02 14:54:30,Webinar,Sales,Positive,2
ENG-000333,ACC-000053,2023-03-24 10:43:06,Email,Support,Neutral,6
ENG-000334,ACC-000052,2021-12-06 00:46:06,Webinar,Sales,Negative,2
ENG-000335,ACC-000007,2021-08-08 08:50:37,Call,Support,Positive,3
ENG-000336,ACC-000022,2021-11-14 18:57:41,Webinar,Sales,Negative,5
